EGsmlie2D,E,R,SA
Cc1ccc(C(F)F)c2ccccc12,4.716710976,29.60532538,1.959284136
CCCCCc1ccc(C)cc1C,4.440567584,29.00592272,1.555758981
CCCCCC1CCC(F)(F)CC1,4.682157927,28.17875957,2.35963975
c1cc2ccc(-c3ccccc3)cc2o1,4.29087425,30.08421733,1.755683888
CCCCC/C=C/C(C)(C)C,4.367583565,28.71904966,2.397774342
CCC/C=C\C(F)(F)c1ccccc1,4.625909142,29.7575065,2.585229698
Cc1cccc(-c2cc(C)cc(C)c2)c1,4.317770138,30.08805451,1.534201251
C[Si](C)(C)[C@H]1C=CCCCCC1,4.455007358,28.43643591,3.587331346
CC1=CC[C@H](C[Si](C)(C)C)CC1,4.361055665,28.31241477,3.60373694
CC1=CC[C@@H](C[Si](C)(C)C)CC1,4.361055665,28.31241477,3.60373694
C/C=C\C[Si](CC)(CC)CC,4.36265785,28.55989608,3.505161079
CCCCCCC(=O)CCCCCC,4.488166196,28.51739857,1.757336207
CC(C)c1ccc(-c2ccccc2)cc1,4.341922742,29.67915029,1.261138843
CC[C@H](C)c1cccc2ccccc21,4.391972894,29.49167673,2.022885195
CCCCCSCCCCC,4.444783412,29.0539881,1.956010262
CC(=O)CCC[C@H](C)CCCC(C)C,4.465329409,28.2552624,2.56877243
C1=CCC2=C(C1)CC1=C(CC=CC1)C2,4.428158494,29.62383457,3.979974986
CCCc1ccc(-c2ccccc2)cc1,4.347301366,29.76239503,1.241993608
CC(C)C1CCC(C(C)C)CC1,4.338634386,27.91866465,2.063000031
CCCCCC1CCCCC1,4.538096458,28.20059621,1.637472932
CCCCCC[C@@H](C)CC,4.476858891,28.27725065,2.185675002
Cc1cccc(Nc2cccc(C)c2)c1,4.187260358,31.81027151,1.460925963
CCCCC(C)(CC)CC,4.447245002,28.32645427,2.405764633
CCCCc1ccc(CCCC)cc1,4.449885211,28.78506164,1.400472893
c1ccc([C@@H]2C=CCCCCC2)cc1,4.430207742,29.20492781,2.51479025
c1ccc([C@H]2C=CCCCCC2)cc1,4.430207742,29.20492781,2.51479025
CC(C)Cc1cccc(CC(C)C)c1,4.336437736,28.45671196,1.682398804
CCCc1cccc(-c2ccccc2)c1,4.347301366,29.76239503,1.328126126
Cc1c(C)c(C)c2ccccc2c1C,4.297553044,29.81440079,1.715277901
CC(C)c1cccc2ccsc21,4.348740712,28.9853682,2.149881833
Cc1ccccc1Nc1ccccc1C,4.279139697,31.86088279,1.37962328
C[C@H](O)[C@H](O)C=O,4.87633589,29.74709502,3.725053921
CN(C)N/N=C1/N=CN=C1C(N)=O,5.065537919,33.07348043,3.709791838
C=CCNC(=O)C(=O)NC[C@H](C)O,4.472390716,31.12135665,2.799528341
C=CCNC(=O)C(=O)NC[C@@H](C)O,4.472390716,31.12135665,2.799528341
CO[C@@H](C=O)O[C@@H](C=O)CO,5.158105735,29.55471621,4.484734275
CO[C@H]([C@H](O)C=O)[C@H](O)[C@H](O)CO,5.230038412,28.58605365,4.081683532
NC(=O)C(=O)NO,5.297222749,37.93973258,2.722856166
C=CCNC(=O)C(=O)NCCCO,4.882272868,30.87031884,2.247044585
CC(=O)N[C@@H](CS)C(N)=O,5.014434259,33.08129391,2.734151515
CO[C@H](C=O)[C@H](O)[C@@H](O)CO,5.247500965,29.07714413,3.900288896
C[C@@H](O)[C@@H](O)C[C@H](O)C=O,5.047119242,28.59412219,4.094417047
N[C@@H](C=O)[C@H](O)[C@@H](O)[C@@H](O)CO,5.119642743,30.46785027,4.181620029
N[C@@H](C=O)[C@H](O)[C@@H](O)[C@H](O)CO,5.119642743,30.46785027,4.181620029
N[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO,5.119642743,30.46785027,4.181620029
