SAMFid,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
0,3.371944444,1.125697279,3.371944444,1.125697279,0.765519964,197.281,182.161,197.1204495,76,0,0.038656225,-0.355518912,0.355518912,0.038656225,0.733333333,1.466666667,2.133333333,14.86704022,10.10254193,1.957251626,-2.07766574,2.18407891,-1.906080501,5.601676893,1.336227142,2.217927486,446.1508091,10.67336211,9.118802154,9.118802154,7.254020195,5.148717474,5.148717474,3.790063509,3.790063509,2.56937285,2.56937285,1.507330104,1.507330104,-1.76,3349.052371,9.782071708,4.177379247,2.376342765,90.76824374,5.316788604,0,0,0,0,0,0,0,0,0,24.26546827,49.23984566,11.37477255,0,0,11.37477255,0,0,0,13.8474744,5.316788604,59.65783953,0,0,5.316788604,11.37477255,0,0,0,0,13.8474744,11.12690298,48.53093655,0,0,0,12.03,0,0,0,0,0,11.37477255,11.12690298,0,18.19910121,49.49609835,0,0,0,0,3.371944444,4.911662835,0,16.62597889,0,4.257080499,0,0.142857143,15,1,1,0,0,0,2,0,2,1,1,1,2,0,0,0,2,4.04704,65.6407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2.291454082,1.208545918,2.291454082,1.208545918,0.472025009,162.276,144.132,162.1408506,66,0,-0.031598861,-0.088220564,0.088220564,0.031598861,0.333333333,0.5,0.666666667,13.8841673,10.14776963,1.817724641,-1.919423866,2.021988819,-1.714442763,4.932598626,0.961809328,2.304110598,121.1931192,8.485281374,7.706742302,7.706742302,6,4.949489743,4.949489743,3.14626437,3.14626437,2,2,1.28445705,1.28445705,-0.78,655.6966846,9.30912656,6.901238303,4.948673968,75.67897404,0,0,0,0,0,0,0,0,0,0,36.45612064,38.52492974,0,0,0,0,0,0,0,38.52492974,0,36.45612064,0,0,0,0,0,0,0,0,0,38.52492974,36.45612064,0,0,0,0,0,0,0,0,0,0,38.52492974,0,0,36.45612064,0,0,0,0,0,0,0,0,21,0,0,0.5,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4.0092,55.122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.269675926,1.370324074,2.269675926,1.370324074,0.50003843,190.292,184.244,189.9910922,58,0,0.034917613,-0.14379833,0.14379833,0.034917613,0.75,1.25,1.75,32.13462644,10.20051953,1.981001098,-1.890415156,2.289648734,-1.613376512,7.183810428,2.037512318,2.621180554,439.7632858,7.966255326,6.280598196,7.913591358,5.93265299,3.778370285,5.537675908,2.769061398,4.664449784,2.027444702,3.786750325,1.417269231,3.05590328,-0.86,1523.777013,6.633922145,2.312312248,0.822195923,78.07545872,0,0,0,0,0,0,0,0,0,22.67357176,0,45.79804224,9.399839833,0,0,42.84586002,0,0,0,0,0,35.02559381,0,0,0,0,0,22.67357176,0,0,0,0,35.02559381,0,20.17228826,0,0,0,0,0,0,0,0,20.17228826,0,22.67357176,35.02559381,0,2.779444444,3.62037037,0,7.034722222,0,0,8.898796296,0,0,0,0,12,0,0,0,0,0,1,2,3,2,0,2,0,0,0,0,3,4.116,57.208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
3,2.243055556,1.331574074,2.243055556,1.331574074,0.633466743,188.295,176.199,188.0659714,66,0,0.037423084,-0.140338316,0.140338316,0.037423084,1,1.692307692,2.230769231,32.13355972,10.12086766,2.033794428,-1.970846608,2.308353677,-1.724631072,7.151941712,1.500072206,2.526463745,398.3177552,9.259148545,7.872349906,8.688846487,6.270856948,4.396282162,5.212778743,3.235212301,4.491535287,2.076953381,3.278581468,1.517510145,2.549034778,-1.08,1451.644964,8.51523239,3.346339286,1.653952834,82.85874482,0,0,0,0,0,0,0,0,0,11.33678588,30.33183534,31.04074445,9.754294387,0,0,11.33678588,0,0,0,13.8474744,0,46.8388011,0,10.44059869,0,0,0,11.33678588,0,0,13.8474744,10.44059869,36.39820241,0,10.44059869,0,0,0,0,0,0,0,0,20.88119737,0,11.33678588,50.24567681,0,0,1.867453704,2.786530612,0,2.71462963,0,12.8020805,0,4.329305556,0,0.166666667,13,0,0,0,0,0,1,1,2,1,0,1,1,0,0,0,2,4.03194,59.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,2.259259259,1.327222222,2.259259259,1.327222222,0.494058196,184.263,176.199,184.0346713,62,0,0.034858961,-0.143799325,0.143799325,0.034858961,0.769230769,1.538461538,2.384615385,32.1334448,10.0984138,1.964440319,-1.960384208,2.257898147,-1.69451205,7.167805868,1.812508099,2.566119086,513.6341359,8.673362107,7.027050444,7.843547025,6.43265299,4.293885681,5.173538492,3.157785382,4.105479575,2.320737876,3.200390687,1.649953932,2.469270956,-1.34,2399.601466,7.100869988,2.573620045,1.044933463,80.43509545,0,0,0,0,0,0,0,0,0,11.33678588,24.26546827,39.73783662,4.699919916,0,0,32.19537844,0,0,0,0,0,47.84463225,0,0,0,0,0,11.33678588,0,0,0,0,47.84463225,0,20.85859256,0,0,0,0,0,0,0,0,20.85859256,11.33678588,0,47.84463225,0,1.373796296,1.802154195,0,6.15125,0,0,15.17279951,0,0,0,0,13,0,0,0,0,0,2,1,3,1,0,1,0,0,0,0,3,4.0545,59.331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,2.291454082,1.208545918,2.291454082,1.208545918,0.472025009,162.276,144.132,162.1408506,66,0,-0.031598861,-0.088220564,0.088220564,0.031598861,0.333333333,0.5,0.666666667,13.8841673,10.14776963,1.817724641,-1.919423866,2.021988819,-1.714442763,4.932598626,0.961809328,2.304110598,121.1931192,8.485281374,7.706742302,7.706742302,6,4.949489743,4.949489743,3.14626437,3.14626437,2,2,1.28445705,1.28445705,-0.78,655.6966846,9.30912656,6.901238303,4.948673968,75.67897404,0,0,0,0,0,0,0,0,0,0,36.45612064,38.52492974,0,0,0,0,0,0,0,38.52492974,0,36.45612064,0,0,0,0,0,0,0,0,0,38.52492974,36.45612064,0,0,0,0,0,0,0,0,0,0,38.52492974,0,0,36.45612064,0,0,0,0,0,0,0,0,21,0,0,0.5,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4.0092,55.122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2.333657407,0.712916667,2.333657407,0.712916667,0.576374091,164.292,144.132,164.1565006,68,0,-0.001256656,-0.065076316,0.065076316,0.001256656,1.083333333,1.666666667,2,14.26696234,9.945738366,2.214221894,-2.103435268,2.379270143,-1.961468988,5.458869493,0.735720245,2.921614076,240.7639251,9.300964908,8.991563832,8.991563832,5.591422815,4.96536071,4.96536071,3.929938946,3.929938946,3.327226934,3.327226934,2.120798128,2.120798128,-0.52,496.5543728,9.567108014,3.46787586,1.348985955,76.36857707,0,0,0,0,0,0,0,0,0,0,31.41450508,44.25614833,0,0,0,0,0,0,5.917906046,47.46032924,0,22.29241812,0,0,0,0,0,0,0,0,5.917906046,47.46032924,22.29241812,0,0,0,0,0,0,0,0,5.917906046,0,18.41474778,16.71931359,0,34.618686,0,0,0,0,0,6.34375,0.712916667,0,2.554814815,11.38851852,0,0.666666667,12,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,4.0891,55.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2.390830499,0.832083333,2.390830499,0.832083333,0.616477629,188.314,168.154,188.1565006,76,0,-0.015932683,-0.06248808,0.06248808,0.015932683,1.214285714,2.071428571,2.785714286,14.24586496,9.784720034,2.194103856,-2.267218128,2.353776329,-2.110983557,5.253132599,0.343820913,2.135154547,300.6615495,9.966255326,9.29252874,9.29252874,6.754020195,5.820385771,5.820385771,4.882838987,4.882838987,3.449929986,3.449929986,2.660921318,2.660921318,-0.78,1970.133781,9.762806332,4.164378092,2.173552916,87.34510888,0,0,0,0,0,0,0,0,0,0,49.59430021,37.16464403,0,0,0,0,0,0,5.917906046,45.44866694,0,35.39237126,0,0,0,0,0,0,0,0,12.84164325,49.65183272,24.26546827,0,0,0,0,0,0,0,0,0,11.83581209,31.24673798,5.563451492,0,38.11294267,0,0,0,0,0,2.969700491,1.757326153,9.053677957,5.638231765,4.581063634,0,0.571428571,14,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,2,4.28872,61.552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,12.86991213,-2.374681122,12.86991213,0.098310185,0.610352107,190.277,170.117,190.1533071,78,0,0.247727804,-0.206905733,0.247727804,0.206905733,1.230769231,1.692307692,2.076923077,19.28516958,9.688994726,2.390738641,-2.382335152,2.445017911,-2.31959284,4.846804902,-0.060551767,2.49943447,162.9290923,10.11288418,8.868813121,8.868813121,5.872938668,5.250903141,5.250903141,4.972359336,4.972359336,3.733519065,3.733519065,2.110290864,2.110290864,-0.14,578.0868319,10.9377605,3.546384754,2.649780567,79.71391182,0,0,0,5.922529168,0,0,0,8.780830095,0,0,27.19203322,24.17453976,12.84164325,0,8.780830095,0,0,0,11.33289652,58.79784888,0,0,0,0,0,8.780830095,0,0,5.922529168,0,11.33289652,52.87531971,0,0,0,0,0,5.922529168,8.780830095,0,18.25663372,18.75954929,6.420821623,0,0,0,20.7712116,0,25.73982426,0,0,0,0.246527778,-1.877343159,0,2.687610544,6.536713908,0,1,13,0,0,1,0,1,0,0,0,0,0,2,2,1,0,1,1,4.2481,50.977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,12.62869426,-2.402314815,12.62869426,0.116851852,0.63804814,192.208,182.128,192.0750568,72,0,0.263947188,-0.205008263,0.263947188,0.205008263,0.928571429,1.571428571,2.214285714,19.27971282,10.00628716,2.107879033,-2.069256799,2.287502554,-1.878628312,5.881778277,0.152886781,2.816019156,460.8284246,10.12939203,7.79738083,7.79738083,6.698377303,4.463144787,4.463144787,3.317968119,3.317968119,2.410898167,2.410898167,1.663337854,1.663337854,-1.44,1862.13535,9.128216427,3.369364297,1.368118014,81.17402269,0,0,0,0,6.425444745,0,0,8.780830095,0,0,36.39820241,23.25963712,5.563451492,0,8.780830095,10.77244843,0,0,0,13.34918194,0,47.52510539,0,0,0,8.780830095,0,0,0,0,6.9237372,17.55234773,36.39820241,0,10.77244843,0,0,6.425444745,8.780830095,0,5.563451492,5.386224214,10.94967571,6.066367068,18.19910121,19.05647134,0,0,25.25738851,0,0,1.562777778,1.149259259,0,10.50473167,-2.402314815,1.928157596,0,0.166666667,14,0,0,0,0,0,2,0,2,0,0,2,1,0,0,0,2,4.08582,53.642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
