,index,ln_abs_c_interface_mean,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,BCUT2D_MWHI,BCUT2D_MRLOW,Chi1v,PEOE_VSA1,PEOE_VSA6,PEOE_VSA7,PEOE_VSA9,SMR_VSA1,SlogP_VSA1,TPSA,EState_VSA1,EState_VSA10,EState_VSA5,EState_VSA8,VSA_EState3,VSA_EState6,NHOHCount,NOCount,NumHeteroatoms,MolLogP,MolMR,fr_Al_OH,fr_Al_OH_noTert,fr_NH2
0,1,4.142167212,3.371944444,1.125697279,3.371944444,14.86704022,1.336227142,5.148717474,5.316788604,24.26546827,49.23984566,0.0,0.0,5.316788604,12.03,0.0,0.0,11.12690298,49.49609835,3.371944444,16.62597889,1,1,1,4.04704,65.6407,0,0,0
1,2,4.405382485,2.291454082,1.208545918,2.291454082,13.8841673,0.961809328,4.949489743,0.0,36.45612064,38.52492974,0.0,0.0,0.0,0.0,0.0,0.0,38.52492974,36.45612064,0.0,0.0,0,0,0,4.0092,55.122,0,0,0
2,3,4.250388501,2.269675926,1.370324074,2.269675926,32.13462644,2.037512318,5.537675908,0.0,0.0,45.79804224,0.0,0.0,0.0,0.0,0.0,0.0,20.17228826,35.02559381,7.034722222,8.898796296,0,0,2,4.116,57.208,0,0,0
3,4,4.252400788,2.243055556,1.331574074,2.243055556,32.13355972,1.500072206,5.212778743,0.0,30.33183534,31.04074445,0.0,0.0,0.0,0.0,0.0,0.0,20.88119737,50.24567681,0.0,12.8020805,0,0,1,4.03194,59.229,0,0,0
4,5,4.151760273,2.259259259,1.327222222,2.259259259,32.1334448,1.812508099,5.173538492,0.0,24.26546827,39.73783662,0.0,0.0,0.0,0.0,0.0,0.0,20.85859256,47.84463225,6.15125,15.17279951,0,0,1,4.0545,59.331,0,0,0
5,6,4.529605588,2.291454082,1.208545918,2.291454082,13.8841673,0.961809328,4.949489743,0.0,36.45612064,38.52492974,0.0,0.0,0.0,0.0,0.0,0.0,38.52492974,36.45612064,0.0,0.0,0,0,0,4.0092,55.122,0,0,0
6,7,4.321720459,2.333657407,0.712916667,2.333657407,14.26696234,0.735720245,4.96536071,0.0,31.41450508,44.25614833,0.0,0.0,0.0,0.0,0.0,0.0,18.41474778,34.618686,0.0,0.0,0,0,0,4.0891,55.146,0,0,0
7,8,4.407195598,2.390830499,0.832083333,2.390830499,14.24586496,0.343820913,5.820385771,0.0,49.59430021,37.16464403,0.0,0.0,0.0,0.0,0.0,0.0,31.24673798,38.11294267,0.0,9.053677957,0,0,0,4.28872,61.552,0,0,0
8,9,4.801134364,12.86991213,-2.374681122,12.86991213,19.28516958,-0.060551767,5.250903141,0.0,27.19203322,24.17453976,0.0,8.780830095,0.0,0.0,5.922529168,8.780830095,0.0,20.7712116,0.0,0.0,0,0,2,4.2481,50.977,0,0,0
9,10,4.278817458,2.277777778,0.856317922,2.277777778,14.27054561,1.13113889,5.587222523,0.0,54.59730362,35.44990377,0.0,0.0,0.0,0.0,0.0,0.0,29.53199772,54.59730362,0.0,19.58390017,0,0,0,4.231,63.853,0,0,0
10,11,4.486751655,1.62037037,1.155648148,1.62037037,14.43436487,0.051981452,6.93265299,0.0,51.36657298,36.51326743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.393,60.13,0,0,0
11,12,4.282630504,2.195324074,1.370324074,2.195324074,32.13596311,1.975907495,5.543658972,0.0,12.13273414,33.66530811,9.399839833,0.0,0.0,0.0,0.0,0.0,20.17228826,35.02559381,7.053796296,8.750092593,0,0,2,4.116,57.208,0,0,0
12,13,4.234671669,3.348131929,0.771857521,3.348131929,14.21267225,0.517218217,5.838987503,0.0,30.33183534,55.73750587,0.0,0.0,0.0,0.0,0.0,0.0,36.81984251,42.98679113,0.0,10.90359001,0,0,0,4.4456,64.921,0,0,0
13,14,5.42539223,10.26828704,-0.975138889,10.26828704,16.18734233,-0.136666032,2.366973397,11.05045608,6.076020107,0.0,0.0,9.589074368,11.05045608,72.19,11.81435946,9.589074368,6.076020107,17.62939176,2.200231481,0.0,3,4,4,-1.2261,32.4011,0,0,1
14,15,5.088760411,10.31517621,-1.548472222,10.31517621,16.37509695,-0.119477815,3.856783454,30.53743537,0.0,7.047671983,12.64872279,25.22064676,5.316788604,110.02,30.96062196,9.901064579,7.047671983,5.316788604,38.24913029,-0.961851852,5,6,6,-3.1517,44.0179,4,4,0
15,16,4.863707912,9.536296296,-1.222222222,9.536296296,16.33226979,-0.118917718,1.996116976,15.00759197,0.0,6.9237372,6.103966388,15.00759197,0.0,57.53,12.20793278,4.794537184,6.9237372,0.0,16.65675926,0.0,2,3,3,-1.073,23.7516,2,2,0
16,17,4.993501224,8.313013039,-0.36375,8.313013039,16.25109104,0.27810661,2.728937113,5.106527395,0.0,7.047671983,6.606881965,5.106527395,10.63357721,80.5,0.0,0.0,0.0,15.74782733,16.93731859,0.0,4,5,5,-0.89773,33.0839,1,1,0
