,index,ln_abs_c_interface_mean,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,BCUT2D_MRLOW,PEOE_VSA1,PEOE_VSA7,SMR_VSA1,TPSA,EState_VSA1,EState_VSA10,EState_VSA5,EState_VSA8,VSA_EState6,NHOHCount,NOCount,MolLogP,fr_NH2
0,1,4.142167212,3.371944444,1.125697279,3.371944444,1.336227142,5.316788604,49.23984566,0.0,12.03,0.0,0.0,11.12690298,49.49609835,16.62597889,1,1,4.04704,0
1,2,4.405382485,2.291454082,1.208545918,2.291454082,0.961809328,0.0,38.52492974,0.0,0.0,0.0,0.0,38.52492974,36.45612064,0.0,0,0,4.0092,0
2,3,4.250388501,2.269675926,1.370324074,2.269675926,2.037512318,0.0,45.79804224,0.0,0.0,0.0,0.0,20.17228826,35.02559381,8.898796296,0,0,4.116,0
3,4,4.252400788,2.243055556,1.331574074,2.243055556,1.500072206,0.0,31.04074445,0.0,0.0,0.0,0.0,20.88119737,50.24567681,12.8020805,0,0,4.03194,0
4,5,4.151760273,2.259259259,1.327222222,2.259259259,1.812508099,0.0,39.73783662,0.0,0.0,0.0,0.0,20.85859256,47.84463225,15.17279951,0,0,4.0545,0
5,6,4.529605588,2.291454082,1.208545918,2.291454082,0.961809328,0.0,38.52492974,0.0,0.0,0.0,0.0,38.52492974,36.45612064,0.0,0,0,4.0092,0
6,7,4.321720459,2.333657407,0.712916667,2.333657407,0.735720245,0.0,44.25614833,0.0,0.0,0.0,0.0,18.41474778,34.618686,0.0,0,0,4.0891,0
7,8,4.407195598,2.390830499,0.832083333,2.390830499,0.343820913,0.0,37.16464403,0.0,0.0,0.0,0.0,31.24673798,38.11294267,9.053677957,0,0,4.28872,0
8,9,4.801134364,12.86991213,-2.374681122,12.86991213,-0.060551767,0.0,24.17453976,8.780830095,0.0,5.922529168,8.780830095,0.0,20.7712116,0.0,0,0,4.2481,0
9,10,4.278817458,2.277777778,0.856317922,2.277777778,1.13113889,0.0,35.44990377,0.0,0.0,0.0,0.0,29.53199772,54.59730362,19.58390017,0,0,4.231,0
10,11,4.486751655,1.62037037,1.155648148,1.62037037,0.051981452,0.0,36.51326743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.393,0
11,12,4.282630504,2.195324074,1.370324074,2.195324074,1.975907495,0.0,33.66530811,0.0,0.0,0.0,0.0,20.17228826,35.02559381,8.750092593,0,0,4.116,0
12,13,4.234671669,3.348131929,0.771857521,3.348131929,0.517218217,0.0,55.73750587,0.0,0.0,0.0,0.0,36.81984251,42.98679113,10.90359001,0,0,4.4456,0
13,14,5.42539223,10.26828704,-0.975138889,10.26828704,-0.136666032,11.05045608,0.0,9.589074368,72.19,11.81435946,9.589074368,6.076020107,17.62939176,0.0,3,4,-1.2261,1
14,15,5.088760411,10.31517621,-1.548472222,10.31517621,-0.119477815,30.53743537,7.047671983,25.22064676,110.02,30.96062196,9.901064579,7.047671983,5.316788604,-0.961851852,5,6,-3.1517,0
15,16,4.863707912,9.536296296,-1.222222222,9.536296296,-0.118917718,15.00759197,6.9237372,15.00759197,57.53,12.20793278,4.794537184,6.9237372,0.0,0.0,2,3,-1.073,0
16,17,4.993501224,8.313013039,-0.36375,8.313013039,0.27810661,5.106527395,7.047671983,5.106527395,80.5,0.0,0.0,0.0,15.74782733,0.0,4,5,-0.89773,0
17,18,5.687420547,10.71180556,-1.36400463,10.71180556,-0.127597686,10.11132579,6.9237372,14.38361155,75.27,17.47721949,14.38361155,6.9237372,5.316788604,-0.62537037,2,5,-1.2166,0
18,19,5.31538428,6.379907407,-0.444444444,6.379907407,0.458620573,0.0,7.047671983,0.0,86.29,6.289710395,0.0,0.0,15.85683013,0.0,5,5,-1.01633,1
19,20,4.87081034,9.72962963,-1.481481481,9.72962963,-0.124642341,20.11411937,6.9237372,20.11411937,77.76,18.31189916,4.794537184,6.9237372,0.0,0.0,3,4,-1.7121,0
20,21,5.132223449,9.420462963,-1.541828704,9.420462963,-0.208922128,30.26949993,0.0,30.26949993,113.68,36.12088275,25.53263697,0.0,0.0,0.0,5,6,-3.4265,0
21,22,5.139834813,9.420462963,-1.541828704,9.420462963,-0.208922128,30.26949993,0.0,30.26949993,113.68,36.12088275,25.53263697,0.0,0.0,0.0,5,6,-3.4265,0
22,23,5.15136447,10.05587113,-1.085787037,10.05587113,-0.169217857,19.37479049,0.0,24.16932767,72.83,19.00087508,9.589074368,7.109797541,9.473725908,0.0,1,5,-1.2658,0
23,24,5.101478231,10.31517621,-1.548472222,10.31517621,-0.119477815,30.53743537,7.047671983,25.22064676,110.02,30.96062196,9.901064579,7.047671983,5.316788604,-0.961851852,5,6,-3.1517,0
24,25,5.555032651,10.06055556,-0.783518519,10.06055556,-0.124139266,5.733667477,0.0,14.79632739,92.42,11.81435946,9.589074368,5.480096598,5.733667477,0.0,4,5,-1.4667,1
25,26,4.891804954,9.72962963,-1.481481481,9.72962963,-0.124642341,20.11411937,6.9237372,20.11411937,77.76,18.31189916,4.794537184,6.9237372,0.0,0.0,3,4,-1.7121,0
26,27,5.022903868,9.995597128,-1.733611111,9.995597128,-0.129374734,30.64232403,0.0,24.90865655,120.85,24.35373999,9.589074368,0.0,0.0,-1.310555556,5,6,-3.2058,1
27,28,5.695511275,10.25703704,-1.350694444,10.25703704,-0.42653247,21.36839953,5.57310453,20.42926924,110.86,17.91832585,14.69560176,0.0,12.31260316,-1.06712963,5,5,-3.2216,1
28,29,5.153737158,10.68935185,-1.127314815,10.68935185,-0.149808157,14.43130987,0.0,19.12047451,63.68,12.01114612,14.38361155,7.047671983,4.736862954,-1.127314815,0,5,-1.1849,0
29,30,4.811271857,10.33787415,-1.016018519,10.33787415,-0.132291799,14.84818874,0.0,19.12047451,72.47,6.227901171,14.38361155,6.9237372,10.05365156,0.0,1,5,-1.137,0
30,31,4.816559178,10.33787415,-1.016018519,10.33787415,-0.132291799,14.84818874,0.0,19.12047451,72.47,6.227901171,14.38361155,6.9237372,10.05365156,0.0,1,5,-1.137,0
