,index,ln_abs_c_interface_mean,MinEStateIndex,BCUT2D_MRLOW,PEOE_VSA1,TPSA,MolLogP
0,1,4.142167212,1.125697279,1.336227142,5.316788604,12.03,4.04704
1,2,4.405382485,1.208545918,0.961809328,0.0,0.0,4.0092
2,3,4.250388501,1.370324074,2.037512318,0.0,0.0,4.116
3,4,4.252400788,1.331574074,1.500072206,0.0,0.0,4.03194
4,5,4.151760273,1.327222222,1.812508099,0.0,0.0,4.0545
5,6,4.529605588,1.208545918,0.961809328,0.0,0.0,4.0092
6,7,4.321720459,0.712916667,0.735720245,0.0,0.0,4.0891
7,8,4.407195598,0.832083333,0.343820913,0.0,0.0,4.28872
8,9,4.801134364,-2.374681122,-0.060551767,0.0,0.0,4.2481
9,10,4.278817458,0.856317922,1.13113889,0.0,0.0,4.231
10,11,4.486751655,1.155648148,0.051981452,0.0,0.0,4.393
11,12,4.282630504,1.370324074,1.975907495,0.0,0.0,4.116
12,13,4.234671669,0.771857521,0.517218217,0.0,0.0,4.4456
13,14,5.42539223,-0.975138889,-0.136666032,11.05045608,72.19,-1.2261
14,15,5.088760411,-1.548472222,-0.119477815,30.53743537,110.02,-3.1517
15,16,4.863707912,-1.222222222,-0.118917718,15.00759197,57.53,-1.073
16,17,4.993501224,-0.36375,0.27810661,5.106527395,80.5,-0.89773
17,18,5.687420547,-1.36400463,-0.127597686,10.11132579,75.27,-1.2166
18,19,5.31538428,-0.444444444,0.458620573,0.0,86.29,-1.01633
19,20,4.87081034,-1.481481481,-0.124642341,20.11411937,77.76,-1.7121
20,21,5.132223449,-1.541828704,-0.208922128,30.26949993,113.68,-3.4265
21,22,5.139834813,-1.541828704,-0.208922128,30.26949993,113.68,-3.4265
22,23,5.15136447,-1.085787037,-0.169217857,19.37479049,72.83,-1.2658
23,24,5.101478231,-1.548472222,-0.119477815,30.53743537,110.02,-3.1517
24,25,5.555032651,-0.783518519,-0.124139266,5.733667477,92.42,-1.4667
25,26,4.891804954,-1.481481481,-0.124642341,20.11411937,77.76,-1.7121
26,27,5.022903868,-1.733611111,-0.129374734,30.64232403,120.85,-3.2058
