,descriptor_name,pearson_correlation,pearson_pvalue,pearson_selection,spearman_correlation,spearman_pvalue,spearman_selection,distance_correlation,distance_selection,mic_correlation,mic_selection,sum_1,sum_2,sum_3,sum_4,sum
0,MaxEStateIndex,0.3234446442950373,1.6975744947880408e-07,1,0.07788107266723093,0.21978452467070028,0,0.34891531438082946,1,0.3283751362326147,0,1,1,0,0,2
1,MinEStateIndex,-0.382385125996064,3.973417464824164e-10,1,-0.3503410087732971,1.247759115778391e-08,1,0.41059168188250605,1,0.35869973666662114,1,1,1,1,1,4
2,MaxAbsEStateIndex,0.3234446442950373,1.6975744947880408e-07,1,0.07788107266723093,0.21978452467070028,0,0.34891531438082946,1,0.3283751362326147,0,1,1,0,0,2
3,MolWt,-0.020480754409330292,0.747270821010421,0,0.0171957997993088,0.7867395490792181,0,0.13974821747733407,0,0.2490485563027926,0,0,0,0,0,0
4,HeavyAtomMolWt,-0.007403558409605625,0.9072757187306827,0,0.02620019826836626,0.6801516461359822,0,0.14321851115014925,0,0.2601261738092477,0,0,0,0,0,0
5,ExactMolWt,-0.020252455396868152,0.7499939582581123,0,0.017990976851953097,0.7771311201079204,0,0.13979932903150089,0,0.2490485563027926,0,0,0,0,0,0
6,NumValenceElectrons,-0.0021494717378491273,0.9730239981070183,0,0.025625387706104424,0.6867947444968776,0,0.14766540598243397,0,0.2667678941347182,0,0,0,0,0,0
7,FpDensityMorgan1,0.23424581549356555,0.00018599158383234655,0,0.13170133818010357,0.037432247534460325,0,0.23374380786405616,0,0.26913360048511564,0,0,0,0,0,0
8,FpDensityMorgan2,0.20559192311045552,0.0010777656016241882,0,0.11953539591397787,0.059117154064377175,0,0.23137916224443,0,0.2851715053526971,0,0,0,0,0,0
9,FpDensityMorgan3,0.15445109506274643,0.014503942074209245,0,0.11154160253178712,0.0783593099051605,0,0.2300427377351748,0,0.24589081620974323,0,0,0,0,0,0
10,BCUT2D_MWHI,-0.0780480559302565,0.21879435636963548,0,0.05232096873599106,0.4101182171847232,0,0.16686171599038205,0,0.3883140136123795,1,1,0,0,0,1
