index,True_Values,Fold1_Predictions,Fold2_Predictions,Fold3_Predictions,Fold4_Predictions,Fold5_Predictions,Fold6_Predictions,Fold7_Predictions,Fold8_Predictions,Fold9_Predictions,Fold10_Predictions
1,4.142167212,4.201887236,4.254291996,4.24156624,4.234161644,4.235452844,4.225149399,4.21719349,4.372459163,4.190280459,4.279235712
2,4.405382485,4.449312037,4.434828231,4.45467666,4.448082663,4.370411514,4.412331777,4.450435574,4.424085166,4.449312037,4.445399855
3,4.250388501,4.265161528,4.267084755,4.261674297,4.252135773,4.255086696,4.262090866,4.254059002,4.266834188,4.265456313,4.269837431
4,4.252400788,4.245011986,4.254577733,4.239949241,4.241418224,4.236838886,4.262421181,4.232273196,4.255709914,4.251636404,4.287508876
5,4.151760273,4.202341522,4.204914122,4.208497496,4.196446841,4.196618053,4.210504152,4.193027341,4.208934341,4.212994109,4.269605422
6,4.529605588,4.449312037,4.434828231,4.45467666,4.448082663,4.370411514,4.412331777,4.450435574,4.424085166,4.449312037,4.445399855
7,4.321720459,4.323347638,4.301677531,4.31566135,4.323314275,4.310617509,4.292828074,4.293099043,4.295376879,4.318080572,4.316092959
8,4.407195598,4.373489707,4.382325956,4.38158774,4.366935301,4.368998721,4.374715599,4.304100257,4.374416639,4.402744422,4.376866612
9,4.801134364,4.679881363,4.6972322,4.484669004,4.739006202,4.733994591,4.673063744,4.685575396,4.701457013,4.675128742,4.717283868
10,4.278817458,4.278727237,4.287327853,4.283803488,4.278751325,4.287626061,4.28313007,4.25359403,4.299566253,4.298669441,4.31758825
11,4.486751655,4.509195647,4.546209012,4.454368383,4.630718114,4.516053842,4.566592374,4.545701048,4.481571046,4.489065475,4.485927926
12,4.282630504,4.283654763,4.278165567,4.280716158,4.274705611,4.272682795,4.297031121,4.273706087,4.281977771,4.281855786,4.294602658
13,4.234671669,4.294886611,4.294376095,4.307470051,4.301182706,4.341984908,4.282434952,4.299659372,4.304988502,4.313937715,4.284241022
14,5.42539223,5.235874088,5.203467112,5.259488123,5.237270496,4.924946954,5.246784452,5.235802303,5.196049111,5.306864286,5.255480555
15,5.088760411,5.101151504,5.113733153,5.113536518,5.095201288,5.104737581,5.090488985,5.102997674,5.101639787,5.127526222,5.119293344
16,4.863707912,4.873426576,4.867376689,4.858423657,4.86537661,4.873621427,4.865697615,4.868626209,4.884998317,4.855710179,4.885575341
17,4.993501224,4.968119295,4.992211681,5.014858964,4.962102986,4.876898906,4.953132631,4.91825315,5.001492203,4.956745795,4.934810142
18,5.687420547,5.04740769,5.436654808,5.469004991,5.454671668,5.498507157,5.551040183,5.461792389,5.459074268,5.402567077,5.421142068
19,5.31538428,5.232437952,5.052836266,5.212930003,5.233891609,5.166977493,5.185459987,5.197890559,5.235398357,5.210443197,5.232004629
20,4.87081034,4.918946807,4.916473482,4.912962198,4.905733929,4.914409134,4.911485007,4.923024356,4.921234172,4.914392152,4.916419412
21,5.132223449,5.155516748,5.146528882,5.184958018,5.140635704,5.160043243,5.150225296,5.141772932,5.14360812,5.147282722,5.138211332
22,5.139834813,5.155516748,5.146528882,5.184958018,5.140635704,5.160043243,5.150225296,5.141772932,5.14360812,5.147282722,5.138211332
23,5.15136447,5.107315551,5.143784329,5.15130952,5.103598464,5.132972642,5.05046433,5.133464528,5.09133045,5.138089345,5.147566748
24,5.101478231,5.101151504,5.113733153,5.113536518,5.095201288,5.104737581,5.090488985,5.102997674,5.101639787,5.127526222,5.119293344
25,5.555032651,5.350327099,5.377369716,5.324231775,5.321679583,5.395756395,5.333347946,5.400418918,5.396684489,5.432405984,5.132906867
26,4.891804954,4.918946807,4.916473482,4.912962198,4.905733929,4.914409134,4.911485007,4.923024356,4.921234172,4.914392152,4.916419412
27,5.022903868,5.056321852,5.068822089,5.168843152,5.106433017,5.055299888,5.069262159,5.100422767,5.079737474,5.101468353,5.067391328
28,5.695511275,5.518239868,5.607755653,5.359717402,5.622461064,5.530641833,5.549070524,5.513556104,5.408516542,5.575356288,5.58647031
