index,True_Values,Fold1_Predictions,Fold2_Predictions,Fold3_Predictions,Fold4_Predictions,Fold5_Predictions,Fold6_Predictions,Fold7_Predictions,Fold8_Predictions,Fold9_Predictions,Fold10_Predictions
1,4.142167212,4.150815964,4.146211624,4.149049759,4.471395016,4.147333145,4.145269394,4.145636082,4.143778324,4.145968437,4.143023014
2,4.405382485,4.448082924,4.454000473,4.436676502,4.445641041,4.437150002,4.448755741,4.405955315,4.449861526,4.443832874,4.490062714
3,4.250388501,4.254048824,4.25090456,4.256334305,4.259010315,4.240960598,4.256599903,4.255135536,4.252524376,4.247194767,4.256337643
4,4.252400788,4.262403965,4.251984596,4.269359589,4.256796837,4.254844666,4.252985001,4.253450394,4.261458397,4.259723186,4.25902319
5,4.151760273,4.248172283,4.177342892,4.18046999,4.182940483,4.176331043,4.179750919,4.180276394,4.174717426,4.182496548,4.177148819
6,4.529605588,4.448082924,4.454000473,4.436676502,4.445641041,4.437150002,4.448755741,4.405955315,4.449861526,4.443832874,4.490062714
7,4.321720459,4.32393074,4.301834106,4.315402031,4.319818497,4.274591446,4.291473389,4.32845068,4.308248043,4.325959682,4.314261436
8,4.407195598,4.234876633,4.394363403,4.402346134,4.391093731,4.407115459,4.395116329,4.380678654,4.397841454,4.405609131,4.42079401
9,4.801134364,4.801212311,4.779550552,4.797032356,4.705332756,4.794464111,4.794970989,4.804749012,4.764591217,4.803081512,4.826512337
10,4.278817458,4.273807049,4.273537159,4.280623436,4.272541046,4.278064728,4.277940273,4.27516222,4.256985188,4.271772861,4.393347263
11,4.486751655,4.549719334,4.482319355,4.485949516,4.488109112,4.483708382,4.499881268,4.486583233,4.489741802,4.48698616,4.493298054
12,4.282630504,4.278346062,4.280486584,4.280605316,4.279615402,4.267293453,4.27854681,4.279776096,4.28422451,4.296452045,4.254279613
13,4.234671669,4.249274731,4.251702785,4.290962219,4.237395287,4.24492979,4.238437653,4.273170948,4.268407822,4.242883205,4.42347908
14,5.42539223,5.400120735,5.410671711,5.409746647,5.341762543,4.690866947,5.418448448,5.418901443,5.409665585,5.41258049,5.412387371
15,5.088760411,5.085048199,5.095580578,5.091984749,5.094881535,5.093022823,5.096413612,5.094807148,5.099349022,5.09444952,5.096414089
16,4.863707912,4.871384144,4.863659382,4.871029854,4.869220257,4.874999046,4.874594212,4.873138905,4.870034695,4.877865314,4.872839451
17,4.993501224,4.981448174,4.987524033,5.002515316,4.999161243,4.995840549,4.980712891,4.978860855,4.946334839,4.964820385,4.979715824
18,5.687420547,5.619122028,5.645460129,5.666721344,5.637465,5.638622761,5.641766071,5.659375668,5.620185852,5.062598228,5.653744698
19,5.31538428,5.299861908,5.310046196,5.279249668,5.296939373,5.28500843,4.866076946,5.314530373,5.290494442,5.303165436,5.296592712
20,4.87081034,4.909911633,4.901228428,4.907610416,4.894652367,4.908146381,4.914085388,4.901311874,4.919002056,4.91277647,4.91500473
21,5.132223449,5.136475563,5.136841297,5.144183159,5.135950565,5.135336876,5.133842945,5.130552769,5.135790348,5.136023998,5.134514809
22,5.139834813,5.136475563,5.136841297,5.144183159,5.135950565,5.135336876,5.133842945,5.130552769,5.135790348,5.136023998,5.134514809
23,5.15136447,5.170767784,5.177111149,5.168828011,5.187832832,5.173172951,5.182183743,5.183849335,5.180357456,5.113233566,5.175044537
24,5.101478231,5.085048199,5.095580578,5.091984749,5.094881535,5.093022823,5.096413612,5.094807148,5.099349022,5.09444952,5.096414089
25,5.555032651,5.546972752,5.359591007,5.512236118,5.542002201,5.552116394,5.53235054,5.547947884,5.535289764,5.543607712,5.541631699
26,4.891804954,4.909911633,4.901228428,4.907610416,4.894652367,4.908146381,4.914085388,4.901311874,4.919002056,4.91277647,4.91500473
27,5.022903868,5.026096344,5.026773453,5.022704124,5.013365269,5.011532784,5.018138409,5.020071983,5.029127598,5.024190426,5.110742569
28,5.695511275,5.639118195,5.665182114,5.633622169,5.50359726,5.633630276,5.684692383,5.654567242,5.67636776,5.597276211,5.672915459
29,5.153737158,5.152937412,5.150915623,5.150503635,5.135085583,5.149896145,5.163108349,5.150704861,5.147758007,5.139336586,5.062947273
30,4.811271857,4.813958168,4.814812183,4.814495564,4.814963341,4.815124512,4.81482172,4.814237595,4.823160172,4.814042568,4.809727192
31,4.816559178,4.813958168,4.814812183,4.814495564,4.814963341,4.815124512,4.81482172,4.814237595,4.823160172,4.814042568,4.809727192
32,5.505577527,5.497378826,5.500505447,5.208572388,5.502530575,5.4958148,5.503781319,5.504441738,5.509907246,5.501450539,5.490829945
33,5.368779097,5.364653111,5.377770424,5.333705902,5.354493618,5.357215405,5.365208626,5.361485481,5.364234924,5.358687401,5.356971741
34,4.994055093,4.990639687,4.995212555,4.992982388,4.997198105,5.08399725,4.981900692,4.99554491,4.986333847,4.996154308,4.992533207
35,5.231773404,5.240459919,5.244155884,5.238920212,5.239556313,5.239640236,5.234295368,5.246043205,5.24126482,5.253405094,5.241711617
36,5.2514992,5.240459919,5.244155884,5.238920212,5.239556313,5.239640236,5.234295368,5.246043205,5.24126482,5.253405094,5.241711617
37,5.218283634,5.170767784,5.177111149,5.168828011,5.187832832,5.173172951,5.182183743,5.183849335,5.180357456,5.113233566,5.175044537
38,5.239748774,5.240459919,5.244155884,5.238920212,5.239556313,5.239640236,5.234295368,5.246043205,5.24126482,5.253405094,5.241711617
39,5.080626226,4.97565937,5.081158638,5.076705933,5.071602821,5.075222492,5.078914165,5.076128483,5.079307556,5.076949596,5.0760355
40,4.944452747,4.909911633,4.901228428,4.907610416,4.894652367,4.908146381,4.914085388,4.901311874,4.919002056,4.91277647,4.91500473
41,4.970603197,4.909911633,4.901228428,4.907610416,4.894652367,4.908146381,4.914085388,4.901311874,4.919002056,4.91277647,4.91500473
42,4.885877583,4.871384144,4.863659382,4.871029854,4.869220257,4.874999046,4.874594212,4.873138905,4.870034695,4.877865314,4.872839451
43,4.86245562,4.871384144,4.863659382,4.871029854,4.869220257,4.874999046,4.874594212,4.873138905,4.870034695,4.877865314,4.872839451
44,4.947305021,4.909911633,4.901228428,4.907610416,4.894652367,4.908146381,4.914085388,4.901311874,4.919002056,4.91277647,4.91500473
45,4.882186581,4.909911633,4.901228428,4.907610416,4.894652367,4.908146381,4.914085388,4.901311874,4.919002056,4.91277647,4.91500473
46,5.1512914,5.135854721,5.148479939,5.157919884,5.150438309,5.13272953,5.149759293,5.145272732,5.158455849,5.172999859,5.149788857
47,5.501267494,5.49569416,5.489129543,5.471674442,5.307352066,5.515275955,5.490004539,5.499423504,5.497569084,5.508488655,5.502988815
48,4.938508103,4.938635349,4.768990993,4.941329002,4.922849655,4.943157673,4.924015522,4.940833569,4.937866211,4.930397987,4.934856892
49,5.858864023,5.768364429,5.784286976,5.83218956,5.750156403,4.820095062,5.63422823,5.814717293,5.753770828,5.84168148,5.7506814
50,5.106300202,5.12753582,5.120552063,5.125657558,5.120637417,5.119961262,5.126194954,5.12282753,5.128116131,5.12191391,5.140367031
51,5.263325858,5.248047829,5.263589382,5.255023479,5.251677513,5.25829792,4.965883732,5.232705593,5.238659859,5.242594719,5.262531757
52,4.938782108,4.982550144,4.960945129,5.397738457,4.965398312,4.976977348,4.946250916,5.007230282,4.970151901,4.942390442,4.945362568
53,5.33471716,5.333690166,5.302936554,5.070433617,5.32783699,5.283309937,5.332346916,5.287213802,5.329936504,5.225288868,5.264397144
54,5.126943536,5.125113964,5.120112419,5.111338615,5.127464771,5.130523205,5.084600925,5.126577377,5.120909214,5.126228333,5.105359077
55,4.873956222,4.909911633,4.901228428,4.907610416,4.894652367,4.908146381,4.914085388,4.901311874,4.919002056,4.91277647,4.91500473
56,5.24313978,5.233149052,5.242661476,5.240014553,5.23963356,5.237400532,5.239890099,5.245460987,5.241159916,5.242197037,5.298643589
57,5.140218967,5.12753582,5.120552063,5.125657558,5.120637417,5.119961262,5.126194954,5.12282753,5.128116131,5.12191391,5.140367031
58,4.180879779,4.211426735,4.32796669,4.255942822,4.55634594,4.302290916,4.22746706,4.224786282,4.238628864,4.224022388,4.218122959
59,4.387450081,4.387254715,4.404079437,4.376247406,4.514855385,4.397143841,4.384662628,4.397871017,4.382944584,4.390853405,4.377065659
