index,True_Values,Fold1_Predictions,Fold2_Predictions,Fold3_Predictions,Fold4_Predictions,Fold5_Predictions,Fold6_Predictions,Fold7_Predictions,Fold8_Predictions,Fold9_Predictions,Fold10_Predictions
1,4.142167212,4.143458366,4.140548706,4.140555859,4.508059502,4.14166832,4.142490387,4.142609596,4.141406536,4.14174509,4.143038273
2,4.405382485,4.455884457,4.456615448,4.4554739,4.457427025,4.405608177,4.457129478,4.529867172,4.455816746,4.451292515,4.454754829
3,4.250388501,4.248520851,4.249663353,4.247247219,4.249561787,4.249989033,4.24505043,4.249834061,4.246357441,4.24442482,4.222057819
4,4.252400788,4.251014233,4.251811504,4.249489784,4.252084732,4.251587868,4.248102665,4.251822948,4.250335217,4.23226881,4.254256248
5,4.151760273,4.149659157,4.14980793,4.149740696,4.300731182,4.153409004,4.147837162,4.15209341,4.149044514,4.147047043,4.150161266
6,4.529605588,4.455884457,4.456615448,4.4554739,4.457427025,4.405608177,4.457129478,4.529867172,4.455816746,4.451292515,4.454754829
7,4.321720459,4.324323654,4.325750828,4.321762085,4.323660851,4.32222271,4.322555542,4.322121143,4.324290752,4.284140587,4.323083878
8,4.407195598,4.403101921,4.401846409,4.402781487,4.410078526,4.406838894,4.403838634,4.406871319,4.270527363,4.406451702,4.405085564
9,4.801134364,4.802871704,4.802101135,4.802034855,4.803618431,4.628097057,4.80398798,4.802105427,4.801709652,4.79985857,4.798253536
10,4.278817458,4.274512291,4.274506569,4.276250362,4.281422138,4.326006889,4.275039196,4.278128147,4.275025845,4.280473709,4.27756691
11,4.486751655,4.486168385,4.488846302,4.484128475,4.486530304,4.486363888,4.483346939,4.632670403,4.486550808,4.486105442,4.488130569
12,4.282630504,4.284443378,4.279778957,4.280946255,4.28341341,4.282086849,4.284044743,4.283330441,4.287382126,4.283032894,4.281682491
13,4.234671669,4.231439114,4.227943897,4.23228693,4.239457607,4.331408501,4.22945118,4.235330105,4.232030869,4.232255936,4.23201704
14,5.42539223,5.425148487,5.425384998,5.241479397,5.425170898,5.423449516,5.425233841,5.423409939,5.423822403,5.426219463,5.426291943
