,Variance
ln_abs_c_interface_mean,0.1665537314398718
Water_all_overlap_factor_100,7.0612518394867205
MaxEStateIndex,4.262192824098905
MinEStateIndex,0.5106296850123235
MaxAbsEStateIndex,4.262192824098905
MinAbsEStateIndex,0.0874866266808841
qed,0.008548864351297671
MolWt,874.8786615666668
HeavyAtomMolWt,777.6491899044016
ExactMolWt,873.4316777043616
NumValenceElectrons,130.3147951807229
NumRadicalElectrons,0.0
MaxPartialCharge,0.00719420188387595
MinPartialCharge,0.00705206161715067
MaxAbsPartialCharge,0.0069387287642374606
MinAbsPartialCharge,0.0065842345860640025
FpDensityMorgan1,0.1138304063101937
FpDensityMorgan2,0.1825502906418838
FpDensityMorgan3,0.23117008243185974
BCUT2D_MWHI,9.968762506946737
BCUT2D_MWLOW,0.07047547958777153
BCUT2D_CHGHI,0.02843487497678616
BCUT2D_CHGLO,0.022013018846959217
BCUT2D_LOGPHI,0.04289989840770541
BCUT2D_LOGPLOW,0.050824834291728724
BCUT2D_MRHI,0.3558200755559787
BCUT2D_MRLOW,0.14483069077142546
BalabanJ,0.4559547346531731
BertzCT,7534.50202643048
Chi0,2.2676197142626804
Chi0n,1.6268337514120754
Chi0v,1.6901697102334403
Chi1,1.0303819961622862
Chi1n,0.7136001629440004
Chi1v,0.7958200059932115
Chi2n,0.5963460310123734
Chi2v,0.7003324458781756
Chi3n,0.46603434961484047
Chi3v,0.5498383239087185
Chi4n,0.3049169387970816
Chi4v,0.3793313228090354
HallKierAlpha,0.20258939116465866
Ipc,690999.7584148176
Kappa1,3.6195014577731452
Kappa2,1.487910116390431
Kappa3,1.740178221450659
LabuteASA,152.92484969184437
PEOE_VSA1,57.29462052476498
PEOE_VSA10,56.138629412839705
PEOE_VSA11,15.315527937859274
PEOE_VSA12,22.413426403775894
PEOE_VSA13,5.094095777366127
PEOE_VSA14,14.677455189342163
PEOE_VSA2,27.179011872131415
PEOE_VSA3,9.816360052653925
PEOE_VSA4,3.73358572159254
PEOE_VSA5,11.642825541354053
PEOE_VSA6,63.34190778294202
PEOE_VSA7,88.86233876798067
PEOE_VSA8,70.9942869221585
PEOE_VSA9,55.54760861209443
SMR_VSA1,57.36046318100224
SMR_VSA10,39.1468658970698
SMR_VSA2,0.6020385591065694
SMR_VSA3,37.96256047547346
SMR_VSA4,23.266197928896478
SMR_VSA5,133.14172062589947
SMR_VSA6,101.48556641241359
SMR_VSA7,105.29954177932557
SMR_VSA8,0.0
SMR_VSA9,1.0557673909352503
SlogP_VSA1,31.253597767227244
SlogP_VSA10,3.7718847557551154
SlogP_VSA11,0.13222754527122801
SlogP_VSA12,6.8209154732312
SlogP_VSA2,234.91225151577532
SlogP_VSA3,29.217189634401066
SlogP_VSA4,9.693724008308205
SlogP_VSA5,82.2814753127652
SlogP_VSA6,76.47203970903341
SlogP_VSA7,0.0
SlogP_VSA8,6.29829925021528
SlogP_VSA9,0.0
TPSA,637.0554775726908
EState_VSA1,107.40833139326142
EState_VSA10,22.48478541446003
EState_VSA11,0.0
EState_VSA2,54.08626652761139
EState_VSA3,37.69206513705856
EState_VSA4,47.78745990295578
EState_VSA5,51.15860974131493
EState_VSA6,29.255905671683227
EState_VSA7,15.416358839293586
EState_VSA8,94.82508650322502
EState_VSA9,38.57725919316774
VSA_EState1,17.95078290786702
VSA_EState10,0.2515346559771511
VSA_EState2,88.3710699052259
VSA_EState3,123.5508758213465
VSA_EState4,12.845013382794896
VSA_EState5,1.5095716156248924
VSA_EState6,5.868175547390793
VSA_EState7,9.155767872581947
VSA_EState8,2.423029387341397
VSA_EState9,1.2627180920340444
FractionCSP3,0.053816752280381124
HeavyAtomCount,4.362666666666667
NHOHCount,2.173879518072289
NOCount,1.961060240963855
NumAliphaticCarbocycles,0.07359036144578313
NumAliphaticHeterocycles,0.33118072289156625
NumAliphaticRings,0.36987951807228914
NumAromaticCarbocycles,0.06632931726907632
NumAromaticHeterocycles,0.14419277108433737
NumAromaticRings,0.255437751004016
NumHAcceptors,2.0227469879518067
NumHDonors,1.4932690763052208
NumHeteroatoms,1.7693333333333336
NumRotatableBonds,2.2551164658634533
NumSaturatedCarbocycles,0.06265060240963856
NumSaturatedHeterocycles,0.3052851405622491
NumSaturatedRings,0.34737349397590367
RingCount,0.5512610441767068
MolLogP,2.392129636633936
MolMR,75.75812160286603
fr_Al_COO,0.07050602409638557
fr_Al_OH,1.7991967871485943
fr_Al_OH_noTert,1.7787148594377509
fr_ArN,0.027710843373493978
fr_Ar_COO,0.0
fr_Ar_N,0.9448353413654619
fr_Ar_NH,0.08772690763052209
fr_Ar_OH,0.004
fr_COO,0.07050602409638557
fr_COO2,0.07050602409638557
fr_C_O,0.7405622489959839
fr_C_O_noCOO,0.7405622489959839
fr_C_S,0.0
fr_HOCCN,0.05752610441767068
fr_Imine,0.004
fr_NH0,0.9220240963855422
fr_NH1,0.7935742971887552
fr_NH2,0.5306987951807229
fr_N_O,0.03913253012048193
fr_Ndealkylation1,0.15371887550200805
fr_Ndealkylation2,0.0311004016064257
fr_Nhpyrrole,0.08772690763052209
fr_SH,0.007967871485943773
fr_aldehyde,0.1522248995983936
fr_alkyl_carbamate,0.0
fr_alkyl_halide,0.01993574297188756
fr_allylic_oxid,0.3527871485943775
fr_amide,0.8616224899598394
fr_amidine,0.004
fr_aniline,0.06265060240963854
fr_aryl_methyl,0.0395823293172691
