,index,Water_all_overlap_factor_100,MaxEStateIndex,MaxAbsEStateIndex,FpDensityMorgan1,BCUT2D_MWHI,BCUT2D_MRHI,BCUT2D_MRLOW,Chi0n,Chi0v,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa3,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,SMR_VSA3,SMR_VSA4,SMR_VSA6,SlogP_VSA1,SlogP_VSA2,TPSA,EState_VSA9,VSA_EState3,VSA_EState4,VSA_EState6,NHOHCount,NOCount,NumAliphaticRings,NumHeteroatoms,NumSaturatedHeterocycles,NumSaturatedRings,MolLogP,MolMR,fr_Al_OH,fr_Al_OH_noTert,fr_Ar_N,fr_NH1,fr_NH2,fr_aldehyde,fr_ether,fr_methoxy,fr_priamide
0,1,32.4281183,3.371944444,3.371944444,0.733333333,14.86704022,5.601676893,1.336227142,9.118802154,9.118802154,5.148717474,5.148717474,3.790063509,3.790063509,2.56937285,2.56937285,1.507330104,1.507330104,-1.76,2.376342765,5.316788604,0.0,0.0,0.0,0.0,0.0,5.316788604,5.316788604,0.0,12.03,0.0,3.371944444,4.911662835,16.62597889,1,1,0,1,0,0,4.04704,65.6407,0,0,0,1,0,0,0,0,0
1,2,28.6543349,2.291454082,2.291454082,0.333333333,13.8841673,4.932598626,0.961809328,7.706742302,7.706742302,4.949489743,4.949489743,3.14626437,3.14626437,2.0,2.0,1.28445705,1.28445705,-0.78,4.948673968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,4.0092,55.122,0,0,0,0,0,0,0,0,0
2,3,29.4007568,2.269675926,2.269675926,0.75,32.13462644,7.183810428,2.037512318,6.280598196,7.913591358,3.778370285,5.537675908,2.769061398,4.664449784,2.027444702,3.786750325,1.417269231,3.05590328,-0.86,0.822195923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.034722222,0.0,8.898796296,0,0,0,2,0,0,4.116,57.208,0,0,0,0,0,0,0,0,0
3,4,29.6763799,2.243055556,2.243055556,1.0,32.13355972,7.151941712,1.500072206,7.872349906,8.688846487,4.396282162,5.212778743,3.235212301,4.491535287,2.076953381,3.278581468,1.517510145,2.549034778,-1.08,1.653952834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71462963,12.8020805,0,0,0,1,0,0,4.03194,59.229,0,0,0,0,0,0,0,0,0
4,5,29.1667857,2.259259259,2.259259259,0.769230769,32.1334448,7.167805868,1.812508099,7.027050444,7.843547025,4.293885681,5.173538492,3.157785382,4.105479575,2.320737876,3.200390687,1.649953932,2.469270956,-1.34,1.044933463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.15125,0.0,15.17279951,0,0,0,1,0,0,4.0545,59.331,0,0,0,0,0,0,0,0,0
5,6,29.0965461,2.291454082,2.291454082,0.333333333,13.8841673,4.932598626,0.961809328,7.706742302,7.706742302,4.949489743,4.949489743,3.14626437,3.14626437,2.0,2.0,1.28445705,1.28445705,-0.78,4.948673968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,4.0092,55.122,0,0,0,0,0,0,0,0,0
6,7,29.3710814,2.333657407,2.333657407,1.083333333,14.26696234,5.458869493,0.735720245,8.991563832,8.991563832,4.96536071,4.96536071,3.929938946,3.929938946,3.327226934,3.327226934,2.120798128,2.120798128,-0.52,1.348985955,0.0,0.0,0.0,0.0,0.0,5.917906046,0.0,0.0,0.0,0.0,0.0,0.0,6.34375,0.0,0,0,1,0,0,0,4.0891,55.146,0,0,0,0,0,0,0,0,0
7,8,27.9155069,2.390830499,2.390830499,1.214285714,14.24586496,5.253132599,0.343820913,9.29252874,9.29252874,5.820385771,5.820385771,4.882838987,4.882838987,3.449929986,3.449929986,2.660921318,2.660921318,-0.78,2.173552916,0.0,0.0,0.0,0.0,0.0,5.917906046,0.0,0.0,0.0,0.0,0.0,0.0,2.969700491,9.053677957,0,0,1,0,0,1,4.28872,61.552,0,0,0,0,0,0,0,0,0
8,9,28.1545216,12.86991213,12.86991213,1.230769231,19.28516958,4.846804902,-0.060551767,8.868813121,8.868813121,5.250903141,5.250903141,4.972359336,4.972359336,3.733519065,3.733519065,2.110290864,2.110290864,-0.14,2.649780567,0.0,0.0,8.780830095,0.0,0.0,11.33289652,0.0,0.0,5.922529168,0.0,0.0,0.0,0.246527778,0.0,0,0,1,2,0,1,4.2481,50.977,0,0,0,0,0,0,0,0,0
9,10,29.886403,2.277777778,2.277777778,0.666666667,14.27054561,5.631085024,1.13113889,8.687716254,8.687716254,5.587222523,5.587222523,4.262307566,4.262307566,3.066560794,3.066560794,1.995004805,1.995004805,-1.56,1.800748923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.133822279,19.58390017,0,0,1,0,0,1,4.231,63.853,0,0,0,0,0,0,0,0,0
10,11,26.4298456,1.62037037,1.62037037,0.428571429,14.43436487,4.889400111,0.051981452,9.380468889,9.380468889,6.93265299,6.93265299,6.080637243,6.080637243,5.343990882,5.343990882,4.587856261,4.587856261,0.0,1.613333333,0.0,0.0,0.0,0.0,0.0,23.67162418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0,3,4.393,60.13,0,0,0,0,0,0,0,0,0
11,12,30.5998283,2.195324074,2.195324074,0.666666667,32.13596311,7.251514329,1.975907495,6.280598196,7.913591358,3.78435335,5.543658972,2.743466347,4.575698503,2.040040768,4.064638342,1.449461415,3.433711933,-0.86,0.764798133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.053796296,0.0,8.750092593,0,0,0,2,0,0,4.116,57.208,0,0,0,0,0,0,0,0,0
12,13,29.2052328,3.348131929,3.348131929,1.133333333,14.21267225,5.214425223,0.517218217,9.369879009,9.369879009,5.838987503,5.838987503,4.221523389,4.221523389,3.208590675,3.208590675,2.373260484,2.373260484,-1.26,2.607453436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.363603395,10.90359001,0,0,1,0,0,1,4.4456,64.921,0,0,0,0,0,0,0,0,0
13,14,31.8109384,10.26828704,10.26828704,1.666666667,16.18734233,6.339457893,-0.136666032,4.885410682,4.885410682,2.366973397,2.366973397,1.36295089,1.36295089,0.630748823,0.630748823,0.251981915,0.251981915,-1.32,3.278802395,11.05045608,9.589074368,0.0,0.0,5.316788604,5.733667477,6.544756406,11.05045608,18.35911586,72.19,0.0,2.200231481,4.591472978,0.0,3,4,0,4,0,0,-1.2261,32.4011,0,0,0,1,1,0,0,0,1
14,15,28.939343,10.31517621,10.31517621,1.307692308,16.37509695,5.582584733,-0.119477815,7.2909608,7.2909608,3.856783454,3.856783454,2.681648125,2.681648125,1.779074453,1.779074453,0.867332912,0.867332912,-0.53,3.370369888,30.53743537,0.0,0.0,0.0,5.316788604,0.0,13.65455395,5.316788604,64.72056404,110.02,15.31958218,38.24913029,0.0,-0.961851852,5,6,0,6,0,0,-3.1517,44.0179,4,4,0,1,0,1,0,0,0
15,16,29.4425541,9.536296296,9.536296296,1.571428571,16.33226979,5.557323393,-0.118917718,4.034726289,4.034726289,1.996116976,1.996116976,1.367278672,1.367278672,0.633679734,0.633679734,0.113703839,0.113703839,-0.41,2.305563506,15.00759197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.70714809,57.53,10.21305479,16.65675926,0.0,0.0,2,3,0,3,0,0,-1.073,23.7516,2,2,0,0,0,1,0,0,0
16,17,33.299264,8.313013039,8.313013039,1.777777778,16.25109104,4.521005317,0.27810661,5.385991023,5.385991023,2.728937113,2.728937113,1.498041979,1.498041979,0.852026589,0.852026589,0.41352357,0.41352357,-0.52,4.014759358,5.106527395,10.63357721,5.531128999,5.114250126,10.63357721,5.114250126,20.19931035,10.63357721,31.59554814,80.5,10.63765639,16.93731859,6.556721466,0.0,4,5,0,5,0,0,-0.89773,33.0839,1,1,0,3,0,0,0,0,0
17,18,30.4832201,10.71180556,10.71180556,1.5,16.19151807,6.145935989,-0.127597686,5.302095141,5.302095141,2.682625685,2.682625685,2.22844969,2.22844969,1.307651611,1.307651611,0.639789835,0.639789835,-1.39,0.754028771,10.11132579,10.11132579,4.794537184,0.0,10.63357721,0.0,0.0,10.63357721,23.76338002,75.27,0.0,4.100092593,-1.36400463,-0.62537037,2,5,1,5,1,1,-1.2166,31.1434,0,0,0,2,0,1,0,0,0
18,19,39.9295685,6.379907407,6.379907407,1.857142857,15.39856961,4.43756372,0.458620573,4.101914134,4.101914134,1.847831091,1.847831091,0.986977703,0.986977703,0.56040539,0.56040539,0.185150855,0.185150855,-0.52,2.209927007,0.0,11.15945887,10.9569204,5.114250126,10.74258,10.9569204,7.047671983,16.58525027,13.33738238,86.29,11.37379927,5.638888889,8.616018519,0.0,5,5,0,5,0,0,-1.01633,25.3185,0,0,0,3,1,0,0,0,0
19,20,28.8079595,9.72962963,9.72962963,1.333333333,16.36231088,5.56119569,-0.124642341,5.059290154,5.059290154,2.587649199,2.587649199,1.857871159,1.857871159,0.983590104,0.983590104,0.365855165,0.365855165,-0.45,2.549917765,20.11411937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.91764187,77.76,15.31958218,25.73601852,0.0,0.0,3,4,0,4,0,0,-1.7121,29.7584,3,3,0,0,0,1,0,0,0
20,21,30.1222513,9.420462963,9.420462963,0.846153846,16.6274436,5.148692138,-0.208922128,6.738174395,6.738174395,4.048030722,4.048030722,3.605082,3.605082,2.825768611,2.825768611,1.753463805,1.753463805,-0.24,1.043804515,30.26949993,0.0,0.0,0.0,0.0,0.0,6.606881965,0.0,68.26040169,113.68,4.736862954,46.53023148,-1.279699074,0.0,5,6,2,6,1,2,-3.4265,38.717,5,5,0,0,0,0,1,0,0
21,22,30.1024925,9.420462963,9.420462963,0.846153846,16.6274436,5.148692138,-0.208922128,6.738174395,6.738174395,4.048030722,4.048030722,3.605082,3.605082,2.825768611,2.825768611,1.753463805,1.753463805,-0.24,1.043804515,30.26949993,0.0,0.0,0.0,0.0,0.0,6.606881965,0.0,68.26040169,113.68,4.736862954,46.53023148,-1.279699074,0.0,5,6,2,6,1,2,-3.4265,38.717,5,5,0,0,0,0,1,0,0
22,23,29.4543424,10.05587113,10.05587113,1.454545455,16.68410537,5.581013971,-0.169217857,6.096714615,6.096714615,2.977902316,2.977902316,1.733366999,1.733366999,0.984059815,0.984059815,0.433602639,0.433602639,-0.78,3.817856514,19.37479049,4.794537184,0.0,0.0,0.0,0.0,13.71667951,0.0,43.78952106,72.83,5.106527395,8.438215231,0.0,0.0,1,5,0,5,0,0,-1.2658,34.8838,1,1,0,0,0,2,2,1,0
23,24,29.8482173,10.31517621,10.31517621,1.307692308,16.37509695,5.582584733,-0.119477815,7.2909608,7.2909608,3.856783454,3.856783454,2.681648125,2.681648125,1.779074453,1.779074453,0.867332912,0.867332912,-0.53,3.370369888,30.53743537,0.0,0.0,0.0,5.316788604,0.0,13.65455395,5.316788604,64.72056404,110.02,15.31958218,38.24913029,0.0,-0.961851852,5,6,0,6,0,0,-3.1517,44.0179,4,4,0,1,0,1,0,0,0
24,25,38.2073934,10.06055556,10.06055556,1.444444444,16.46678939,5.949029659,-0.124139266,4.495760984,4.495760984,2.081213825,2.081213825,1.211756429,1.211756429,0.509167744,0.509167744,0.19508837,0.19508837,-1.36,4.494132086,5.733667477,14.79632739,5.480096598,0.0,5.480096598,5.733667477,0.0,11.21376408,17.02161248,92.42,5.207253025,7.844760015,5.894878118,0.0,4,5,0,5,0,0,-1.4667,28.2636,0,0,0,1,1,0,0,0,1
25,26,28.9817009,9.72962963,9.72962963,1.333333333,16.36231088,5.56119569,-0.124642341,5.059290154,5.059290154,2.587649199,2.587649199,1.857871159,1.857871159,0.983590104,0.983590104,0.365855165,0.365855165,-0.45,2.549917765,20.11411937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.91764187,77.76,15.31958218,25.73601852,0.0,0.0,3,4,0,4,0,0,-1.7121,29.7584,3,3,0,0,0,1,0,0,0
26,27,30.6299345,9.995597128,9.995597128,1.0,16.36413379,5.600354069,-0.129374734,6.199589252,6.199589252,3.24600119,3.24600119,2.321293256,2.321293256,1.39073588,1.39073588,0.590696385,0.590696385,-0.82,2.665666078,30.64232403,0.0,0.0,0.0,0.0,5.733667477,0.0,5.733667477,52.24564322,120.85,21.05324966,26.57190665,5.004794029,-1.310555556,5,6,0,6,0,0,-3.2058,38.1238,3,3,0,0,1,2,0,0,0
27,28,37.3975316,10.25703704,10.25703704,1.636363636,16.3676396,5.801901025,-0.42653247,6.000765753,6.000765753,2.947306302,2.947306302,2.17295928,2.17295928,1.178610006,1.178610006,0.513658538,0.513658538,-1.36,3.364857256,21.36839953,4.794537184,0.0,0.0,0.0,5.733667477,0.0,16.57386235,17.91832585,110.86,5.733667477,10.13566893,8.17593065,-1.06712963,5,5,0,5,0,0,-3.2216,34.6345,0,0,0,0,1,0,0,0,1
28,29,29.7812152,10.68935185,10.68935185,1.545454545,16.52569011,5.932813379,-0.149808157,6.312257565,6.312257565,2.873520945,2.873520945,1.874958046,1.874958046,1.176615783,1.176615783,0.504128812,0.504128812,-1.39,2.365788396,14.43130987,4.794537184,4.794537184,0.0,4.899909731,0.0,14.15746952,0.0,43.7647812,63.68,0.0,0.0,0.0,-1.127314815,0,5,0,5,0,0,-1.1849,35.695,0,0,0,0,0,1,1,1,0
29,30,31.7648702,10.33787415,10.33787415,1.636363636,16.50501829,5.76086222,-0.132291799,6.072150751,6.072150751,2.980162819,2.980162819,1.757207109,1.757207109,0.812943773,0.812943773,0.458258706,0.458258706,-1.23,5.226100342,14.84818874,9.589074368,0.0,0.0,5.316788604,0.0,6.606881965,5.316788604,31.31428391,72.47,0.0,2.17625,0.0,0.0,1,5,0,5,0,0,-1.137,35.6847,0,0,0,1,0,2,1,0,0
30,31,31.7826529,10.33787415,10.33787415,1.636363636,16.50501829,5.76086222,-0.132291799,6.072150751,6.072150751,2.980162819,2.980162819,1.757207109,1.757207109,0.812943773,0.812943773,0.458258706,0.458258706,-1.23,5.226100342,14.84818874,9.589074368,0.0,0.0,5.316788604,0.0,6.606881965,5.316788604,31.31428391,72.47,0.0,2.17625,0.0,0.0,1,5,0,5,0,0,-1.137,35.6847,0,0,0,1,0,2,1,0,0
31,32,32.1175191,10.18439815,10.18439815,1.4,16.6851447,6.337181535,-0.157869156,5.210343431,5.210343431,2.309295861,2.309295861,1.389080684,1.389080684,0.51124953,0.51124953,0.168509337,0.168509337,-1.59,3.416773135,10.57125606,14.38361155,0.0,5.480096598,5.480096598,5.733667477,0.0,11.21376408,17.78366475,98.49,0.0,0.0,5.998434429,0.0,3,6,0,6,0,0,-1.934,29.1031,0,0,0,1,1,0,0,0,1
32,33,37.17355,10.78347222,10.78347222,1.545454545,16.18798823,6.438077949,-0.138610155,5.586552191,5.586552191,2.870626365,2.870626365,2.178994952,2.178994952,1.393048426,1.393048426,0.869861742,0.869861742,-1.65,0.99991202,11.05045608,14.38361155,0.0,0.0,5.316788604,11.65157352,0.0,11.05045608,17.59760441,89.26,5.733667477,2.114166667,4.890462963,0.0,3,5,1,5,1,1,-1.6995,34.9741,0,0,0,1,1,0,0,0,1
33,34,29.2748333,12.24712963,12.24712963,1.272727273,19.1443303,5.564354381,-0.123487117,6.014604896,6.014604896,3.139200422,3.139200422,2.302297564,2.302297564,1.300426814,1.300426814,0.554221649,0.554221649,-0.52,2.91898423,20.11411937,0.0,4.390415048,0.0,0.0,0.0,0.0,0.0,46.08931727,77.76,15.31958218,26.18107332,0.0,0.0,3,4,0,5,0,0,-1.374,34.6544,3,3,0,0,0,1,0,0,0
34,35,28.3527538,10.1353151,10.1353151,1.384615385,16.50662606,5.563458655,-0.142682937,7.19920909,7.19920909,3.71205887,3.71205887,2.567507445,2.567507445,1.666080684,1.666080684,0.885256055,0.885256055,-0.53,3.370369888,29.95750972,0.0,0.0,0.0,0.0,0.0,13.71667951,0.0,64.84481516,107.22,15.31958218,35.64570437,0.0,0.0,4,6,0,6,0,0,-2.7247,41.9672,4,4,0,0,0,1,1,1,0
35,36,28.6420083,10.1353151,10.1353151,1.384615385,16.50662606,5.563458655,-0.142682937,7.19920909,7.19920909,3.71205887,3.71205887,2.567507445,2.567507445,1.666080684,1.666080684,0.885256055,0.885256055,-0.53,3.370369888,29.95750972,0.0,0.0,0.0,0.0,0.0,13.71667951,0.0,64.84481516,107.22,15.31958218,35.64570437,0.0,0.0,4,6,0,6,0,0,-2.7247,41.9672,4,4,0,0,0,1,1,1,0
