,index,Water_all_overlap_factor_100,Chi0n,Chi0v,Chi1n,Chi1v,Chi2n,Chi3n,Chi3v,Chi4n,HallKierAlpha,PEOE_VSA3,PEOE_VSA4,SMR_VSA4,SMR_VSA6,SlogP_VSA1,SlogP_VSA2,TPSA,VSA_EState4,NHOHCount,NumAliphaticRings,NumHeteroatoms,NumSaturatedRings,fr_Al_OH,fr_Al_OH_noTert,fr_NH1,fr_NH2,fr_ether
0,1,32.4281183,9.118802154,9.118802154,5.148717474,5.148717474,3.790063509,2.56937285,2.56937285,1.507330104,-1.76,0.0,0.0,0.0,5.316788604,5.316788604,0.0,12.03,4.911662835,1,0,1,0,0,0,1,0,0
1,2,28.6543349,7.706742302,7.706742302,4.949489743,4.949489743,3.14626437,2.0,2.0,1.28445705,-0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0
2,3,29.4007568,6.280598196,7.913591358,3.778370285,5.537675908,2.769061398,2.027444702,3.786750325,1.417269231,-0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
3,4,29.6763799,7.872349906,8.688846487,4.396282162,5.212778743,3.235212301,2.076953381,3.278581468,1.517510145,-1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71462963,0,0,1,0,0,0,0,0,0
4,5,29.1667857,7.027050444,7.843547025,4.293885681,5.173538492,3.157785382,2.320737876,3.200390687,1.649953932,-1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0
5,6,29.0965461,7.706742302,7.706742302,4.949489743,4.949489743,3.14626437,2.0,2.0,1.28445705,-0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0
6,7,29.3710814,8.991563832,8.991563832,4.96536071,4.96536071,3.929938946,3.327226934,3.327226934,2.120798128,-0.52,0.0,0.0,5.917906046,0.0,0.0,0.0,0.0,6.34375,0,1,0,0,0,0,0,0,0
7,8,27.9155069,9.29252874,9.29252874,5.820385771,5.820385771,4.882838987,3.449929986,3.449929986,2.660921318,-0.78,0.0,0.0,5.917906046,0.0,0.0,0.0,0.0,2.969700491,0,1,0,1,0,0,0,0,0
8,9,28.1545216,8.868813121,8.868813121,5.250903141,5.250903141,4.972359336,3.733519065,3.733519065,2.110290864,-0.14,8.780830095,0.0,11.33289652,0.0,0.0,5.922529168,0.0,0.246527778,0,1,2,1,0,0,0,0,0
9,10,29.886403,8.687716254,8.687716254,5.587222523,5.587222523,4.262307566,3.066560794,3.066560794,1.995004805,-1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.133822279,0,1,0,1,0,0,0,0,0
