,index,Water_all_overlap_factor_100,Chi0n,Chi2n,Chi3n,HallKierAlpha,PEOE_VSA4,SMR_VSA4,SMR_VSA6,SlogP_VSA1,SlogP_VSA2,TPSA,VSA_EState4,NHOHCount,fr_Al_OH,fr_NH2,fr_ether
0,1,32.4281183,9.118802154,3.790063509,2.56937285,-1.76,0.0,0.0,5.316788604,5.316788604,0.0,12.03,4.911662835,1,0,0,0
1,2,28.6543349,7.706742302,3.14626437,2.0,-0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,3,29.4007568,6.280598196,2.769061398,2.027444702,-0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
3,4,29.6763799,7.872349906,3.235212301,2.076953381,-1.08,0.0,0.0,0.0,0.0,0.0,0.0,2.71462963,0,0,0,0
4,5,29.1667857,7.027050444,3.157785382,2.320737876,-1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
5,6,29.0965461,7.706742302,3.14626437,2.0,-0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
6,7,29.3710814,8.991563832,3.929938946,3.327226934,-0.52,0.0,5.917906046,0.0,0.0,0.0,0.0,6.34375,0,0,0,0
7,8,27.9155069,9.29252874,4.882838987,3.449929986,-0.78,0.0,5.917906046,0.0,0.0,0.0,0.0,2.969700491,0,0,0,0
8,9,28.1545216,8.868813121,4.972359336,3.733519065,-0.14,0.0,11.33289652,0.0,0.0,5.922529168,0.0,0.246527778,0,0,0,0
9,10,29.886403,8.687716254,4.262307566,3.066560794,-1.56,0.0,0.0,0.0,0.0,0.0,0.0,4.133822279,0,0,0,0
10,11,26.4298456,9.380468889,6.080637243,5.343990882,0.0,0.0,23.67162418,0.0,0.0,0.0,0.0,0.0,0,0,0,0
11,12,30.5998283,6.280598196,2.743466347,2.040040768,-0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
12,13,29.2052328,9.369879009,4.221523389,3.208590675,-1.26,0.0,0.0,0.0,0.0,0.0,0.0,6.363603395,0,0,0,0
13,14,31.8109384,4.885410682,1.36295089,0.630748823,-1.32,0.0,5.733667477,6.544756406,11.05045608,18.35911586,72.19,4.591472978,3,0,1,0
14,15,28.939343,7.2909608,2.681648125,1.779074453,-0.53,0.0,0.0,13.65455395,5.316788604,64.72056404,110.02,0.0,5,4,0,0
15,16,29.4425541,4.034726289,1.367278672,0.633679734,-0.41,0.0,0.0,0.0,0.0,28.70714809,57.53,0.0,2,2,0,0
16,17,33.299264,5.385991023,1.498041979,0.852026589,-0.52,5.114250126,5.114250126,20.19931035,10.63357721,31.59554814,80.5,6.556721466,4,1,0,0
17,18,30.4832201,5.302095141,2.22844969,1.307651611,-1.39,0.0,0.0,0.0,10.63357721,23.76338002,75.27,-1.36400463,2,0,0,0
18,19,39.9295685,4.101914134,0.986977703,0.56040539,-0.52,5.114250126,10.9569204,7.047671983,16.58525027,13.33738238,86.29,8.616018519,5,0,1,0
19,20,28.8079595,5.059290154,1.857871159,0.983590104,-0.45,0.0,0.0,0.0,0.0,39.91764187,77.76,0.0,3,3,0,0
20,21,30.1222513,6.738174395,3.605082,2.825768611,-0.24,0.0,0.0,6.606881965,0.0,68.26040169,113.68,-1.279699074,5,5,0,1
21,22,30.1024925,6.738174395,3.605082,2.825768611,-0.24,0.0,0.0,6.606881965,0.0,68.26040169,113.68,-1.279699074,5,5,0,1
22,23,29.4543424,6.096714615,1.733366999,0.984059815,-0.78,0.0,0.0,13.71667951,0.0,43.78952106,72.83,0.0,1,1,0,2
23,24,29.8482173,7.2909608,2.681648125,1.779074453,-0.53,0.0,0.0,13.65455395,5.316788604,64.72056404,110.02,0.0,5,4,0,0
24,25,38.2073934,4.495760984,1.211756429,0.509167744,-1.36,0.0,5.733667477,0.0,11.21376408,17.02161248,92.42,5.894878118,4,0,1,0
25,26,28.9817009,5.059290154,1.857871159,0.983590104,-0.45,0.0,0.0,0.0,0.0,39.91764187,77.76,0.0,3,3,0,0
26,27,30.6299345,6.199589252,2.321293256,1.39073588,-0.82,0.0,5.733667477,0.0,5.733667477,52.24564322,120.85,5.004794029,5,3,1,0
27,28,37.3975316,6.000765753,2.17295928,1.178610006,-1.36,0.0,5.733667477,0.0,16.57386235,17.91832585,110.86,8.17593065,5,0,1,0
28,29,29.7812152,6.312257565,1.874958046,1.176615783,-1.39,0.0,0.0,14.15746952,0.0,43.7647812,63.68,0.0,0,0,0,1
29,30,31.7648702,6.072150751,1.757207109,0.812943773,-1.23,0.0,0.0,6.606881965,5.316788604,31.31428391,72.47,0.0,1,0,0,1
30,31,31.7826529,6.072150751,1.757207109,0.812943773,-1.23,0.0,0.0,6.606881965,5.316788604,31.31428391,72.47,0.0,1,0,0,1
31,32,32.1175191,5.210343431,1.389080684,0.51124953,-1.59,5.480096598,5.733667477,0.0,11.21376408,17.78366475,98.49,5.998434429,3,0,1,0
32,33,37.17355,5.586552191,2.178994952,1.393048426,-1.65,0.0,11.65157352,0.0,11.05045608,17.59760441,89.26,4.890462963,3,0,1,0
33,34,29.2748333,6.014604896,2.302297564,1.300426814,-0.52,0.0,0.0,0.0,0.0,46.08931727,77.76,0.0,3,3,0,0
34,35,28.3527538,7.19920909,2.567507445,1.666080684,-0.53,0.0,0.0,13.71667951,0.0,64.84481516,107.22,0.0,4,4,0,1
35,36,28.6420083,7.19920909,2.567507445,1.666080684,-0.53,0.0,0.0,13.71667951,0.0,64.84481516,107.22,0.0,4,4,0,1
36,37,29.5880719,6.096714615,1.733366999,0.984059815,-0.78,0.0,0.0,13.71667951,0.0,43.78952106,72.83,0.0,1,1,0,2
37,38,28.4531658,7.19920909,2.567507445,1.666080684,-0.53,0.0,0.0,13.71667951,0.0,64.84481516,107.22,0.0,4,4,0,1
38,39,28.8482596,5.766396935,2.20091248,1.226196297,-0.45,0.0,0.0,0.0,0.0,39.91764187,77.76,0.0,3,3,0,0
39,40,28.8726689,5.059290154,1.857871159,0.983590104,-0.45,0.0,0.0,0.0,0.0,39.91764187,77.76,0.0,3,3,0,0
40,41,28.4562899,5.059290154,1.857871159,0.983590104,-0.45,0.0,0.0,0.0,0.0,39.91764187,77.76,0.0,3,3,0,0
41,42,29.8067916,4.034726289,1.367278672,0.633679734,-0.41,0.0,0.0,0.0,0.0,28.70714809,57.53,0.0,2,2,0,0
42,43,29.7316448,4.034726289,1.367278672,0.633679734,-0.41,0.0,0.0,0.0,0.0,28.70714809,57.53,0.0,2,2,0,0
43,44,28.4680699,5.059290154,1.857871159,0.983590104,-0.45,0.0,0.0,0.0,0.0,39.91764187,77.76,0.0,3,3,0,0
44,45,28.2179808,5.059290154,1.857871159,0.983590104,-0.45,0.0,0.0,0.0,0.0,39.91764187,77.76,0.0,3,3,0,0
45,46,39.4668594,5.83682143,1.763448068,1.014363045,-1.22,11.79395094,11.79395094,0.0,11.79395094,34.35959814,145.1,0.0,6,2,2,0
46,47,34.4293967,7.293658972,2.500087738,1.411944749,-2.11,0.0,0.0,6.544756406,16.5657989,22.41989318,94.82,-1.389485072,3,0,0,0
47,48,28.3760693,4.487905156,1.476216578,0.822775914,-0.38,0.0,0.0,6.606881965,0.0,34.13439692,60.69,0.0,3,3,0,0
48,49,37.2669885,5.087132532,1.501077082,0.646898546,-1.26,0.0,10.8893802,6.544756406,11.05045608,23.49480895,87.71,5.006527778,4,0,1,0
49,50,29.7367081,6.238174395,2.719449317,1.86705949,0.15,0.0,0.0,6.606881965,0.0,56.88485547,90.15,-0.874490741,4,4,0,1
50,51,28.4911043,6.174645225,2.076914958,1.324175288,-0.49,0.0,0.0,13.71667951,0.0,53.63432138,86.99,0.0,3,3,0,1
51,52,31.1622838,6.569452578,2.455066461,1.454246485,-1.02,0.0,5.733667477,0.0,5.733667477,57.03531538,141.08,4.586273148,6,4,1,0
52,53,44.2281517,3.679264403,0.864969235,0.44483731,-0.56,5.114250126,16.79959067,0.0,22.53692333,6.289710395,112.31,10.52212963,7,0,2,0
53,54,29.5565926,6.368311069,2.444539837,1.482683922,-0.53,0.0,5.733667477,6.606881965,5.733667477,57.67289206,124.01,5.039091081,6,4,1,0
