,index,Water_all_overlap_factor_100,SMR_VSA4,SlogP_VSA1,SlogP_VSA2,TPSA,VSA_EState4,fr_NH2
0,1,32.4281183,0.0,5.316788604,0.0,12.03,4.911662835,0
1,2,28.6543349,0.0,0.0,0.0,0.0,0.0,0
2,3,29.4007568,0.0,0.0,0.0,0.0,0.0,0
3,4,29.6763799,0.0,0.0,0.0,0.0,2.71462963,0
4,5,29.1667857,0.0,0.0,0.0,0.0,0.0,0
5,6,29.0965461,0.0,0.0,0.0,0.0,0.0,0
6,7,29.3710814,5.917906046,0.0,0.0,0.0,6.34375,0
7,8,27.9155069,5.917906046,0.0,0.0,0.0,2.969700491,0
8,9,28.1545216,11.33289652,0.0,5.922529168,0.0,0.246527778,0
9,10,29.886403,0.0,0.0,0.0,0.0,4.133822279,0
10,11,26.4298456,23.67162418,0.0,0.0,0.0,0.0,0
11,12,30.5998283,0.0,0.0,0.0,0.0,0.0,0
12,13,29.2052328,0.0,0.0,0.0,0.0,6.363603395,0
13,14,31.8109384,5.733667477,11.05045608,18.35911586,72.19,4.591472978,1
14,15,28.939343,0.0,5.316788604,64.72056404,110.02,0.0,0
15,16,29.4425541,0.0,0.0,28.70714809,57.53,0.0,0
16,17,33.299264,5.114250126,10.63357721,31.59554814,80.5,6.556721466,0
17,18,30.4832201,0.0,10.63357721,23.76338002,75.27,-1.36400463,0
18,19,39.9295685,10.9569204,16.58525027,13.33738238,86.29,8.616018519,1
19,20,28.8079595,0.0,0.0,39.91764187,77.76,0.0,0
20,21,30.1222513,0.0,0.0,68.26040169,113.68,-1.279699074,0
21,22,30.1024925,0.0,0.0,68.26040169,113.68,-1.279699074,0
22,23,29.4543424,0.0,0.0,43.78952106,72.83,0.0,0
23,24,29.8482173,0.0,5.316788604,64.72056404,110.02,0.0,0
24,25,38.2073934,5.733667477,11.21376408,17.02161248,92.42,5.894878118,1
25,26,28.9817009,0.0,0.0,39.91764187,77.76,0.0,0
26,27,30.6299345,5.733667477,5.733667477,52.24564322,120.85,5.004794029,1
27,28,37.3975316,5.733667477,16.57386235,17.91832585,110.86,8.17593065,1
28,29,29.7812152,0.0,0.0,43.7647812,63.68,0.0,0
