,descriptor_name,pearson_correlation,pearson_pvalue,pearson_selection,spearman_correlation,spearman_pvalue,spearman_selection,distance_correlation,distance_selection,mic_correlation,mic_selection,sum_1,sum_2,sum_3,sum_4,sum
0,MaxEStateIndex,0.09799105985522319,0.1222661504349015,0,0.1520613495094373,0.016116734265641777,0,0.19921067296606756,0,0.3601699558840873,1,1,0,0,0,1
1,MinEStateIndex,-0.07260742221434352,0.2527144472580742,0,0.08337506340749894,0.18886041238669266,0,0.17589136742306097,0,0.2839859088417657,0,0,0,0,0,0
2,MaxAbsEStateIndex,0.09799105985522319,0.1222661504349015,0,0.1520613495094373,0.016116734265641777,0,0.19921067296606756,0,0.3601699558840873,1,1,0,0,0,1
3,MolWt,-0.19263144173624475,0.0022192229271083847,0,-0.2049609188258558,0.0011174863825973455,0,0.23281384882029077,0,0.2588423089676369,0,0,0,0,0,0
4,HeavyAtomMolWt,-0.16070355855031873,0.010934865462781475,0,-0.16456561121691504,0.009140149502110173,0,0.21786279076960804,0,0.24063640969604636,0,0,0,0,0,0
5,ExactMolWt,-0.19253897426224495,0.0022303353862038492,0,-0.2044300325037522,0.001151942186765222,0,0.23277188228883433,0,0.26179264441385525,0,0,0,0,0,0
6,NumValenceElectrons,-0.23441572696669644,0.00018393994550873767,0,-0.24555372831436278,8.733561613908343e-05,0,0.25090520273459355,0,0.25292890016520464,0,0,0,0,0,0
7,FpDensityMorgan1,0.25538735144726776,4.3934829209860853e-05,0,0.3088703226281706,6.308293013924973e-07,1,0.3112178475724657,0,0.26515991937495026,0,1,0,0,0,1
8,FpDensityMorgan2,0.19613807776137526,0.0018332527369044648,0,0.26498911306841016,2.186130045964602e-05,0,0.26859833411211226,0,0.27341551241114265,0,0,0,0,0,0
9,FpDensityMorgan3,0.12726146805882474,0.04440185469069534,0,0.18051972587624734,0.004189551132500778,0,0.1939613455004281,0,0.24030559741193386,0,0,0,0,0,0
10,BCUT2D_MWHI,0.01686275255491313,0.7907735887212184,0,-0.2721891583776447,1.2723225701445574e-05,0,0.13710857337509652,0,0.45734049903312557,1,1,0,0,0,1
11,BCUT2D_MRHI,0.09745813046104997,0.1243210884746753,0,0.22270147727823847,0.00038782028202901883,0,0.24073270163649324,0,0.3450870773516515,1,1,0,0,0,1
12,BCUT2D_MRLOW,0.017350748321369864,0.7848646629923015,0,0.03575441565354714,0.5736570679546805,0,0.18931342684641905,0,0.3304724353274323,1,1,0,0,0,1
13,BalabanJ,0.19598253709941613,0.001848981284447221,0,0.19981497478249427,0.0014952479454995802,0,0.22852823885220083,0,0.29637953290403113,0,0,0,0,0,0
14,BertzCT,0.11297017467969815,0.07459028553084279,0,0.10651611581126769,0.09285783909630187,0,0.17747733180806255,0,0.22687992570763932,0,0,0,0,0,0
