index,True_Values,Fold1_Predictions,Fold2_Predictions,Fold3_Predictions,Fold4_Predictions,Fold5_Predictions,Fold6_Predictions,Fold7_Predictions,Fold8_Predictions,Fold9_Predictions,Fold10_Predictions
1,32.4281183,32.25401181,32.17431728,31.90876019,32.11334788,31.64822872,32.14520005,32.11939293,32.20303876,30.66692966,31.7383857
2,28.6543349,28.98433269,28.87103802,28.87177019,28.90147518,28.89596272,28.85371238,28.89921068,28.88703316,28.85790707,29.11734647
3,29.4007568,30.01836814,29.76939131,29.60922561,29.60241701,29.67512095,29.4142652,29.65705849,29.62554518,29.50558793,29.56627909
4,29.6763799,29.47815863,29.48434082,29.60867361,29.50741831,29.52272528,29.43006012,29.43978204,29.52560564,29.5408657,29.70011949
5,29.1667857,29.44970493,29.3634037,29.43247011,29.37934932,29.29426304,29.65442334,29.37144333,29.46909924,29.40853335,29.53975694
6,29.0965461,28.98433269,28.87103802,28.87177019,28.90147518,28.89596272,28.85371238,28.89921068,28.88703316,28.85790707,29.11734647
7,29.3710814,29.55016166,29.78645321,29.18482677,29.1307571,29.29673276,29.28507472,29.28231711,29.41516088,29.68401524,29.37210737
8,27.9155069,29.05278767,28.44097929,28.41975345,28.40571873,28.47195195,28.51292731,28.42613816,28.52129523,28.49807303,28.50995999
9,28.1545216,28.44561902,28.45079304,28.09776864,28.04522975,28.15211751,28.06149129,28.33592572,28.14325009,27.87679689,28.47770171
10,29.886403,29.70838917,29.75109376,29.90818561,29.81564633,29.59325856,29.78289066,29.65587106,29.74607043,29.73144029,29.96096882
11,26.4298456,27.46433775,27.40006844,27.02775401,26.97845071,27.04536642,27.14306545,27.21148325,26.98884759,27.32703664,28.50719485
12,30.5998283,30.02861715,30.3209642,30.05691014,30.06035056,30.10678669,29.4142652,30.08872423,30.05817302,30.08114225,30.09387055
13,29.2052328,29.58698707,29.94800069,29.4928821,29.70510413,29.47105773,29.44254255,29.33578809,29.61664577,30.34695865,29.76171015
14,31.8109384,32.50129992,32.52785156,32.29436558,32.32302327,32.2619246,32.86310302,33.54808264,32.37147346,32.3089439,32.62212095
15,28.939343,29.46767708,29.36052386,29.67303071,29.85747671,29.59792519,29.55549353,29.49833269,29.68508796,29.5598139,29.4314933
16,29.4425541,29.60859292,29.68833749,29.62953522,29.56641041,29.58631686,29.5924008,29.5759659,29.62048767,29.7245581,29.82546754
17,33.299264,32.91856058,32.93855943,32.64271684,33.13408487,32.69591929,32.79300016,32.99502799,32.73828002,32.81161165,32.13688106
18,30.4832201,31.2726709,32.74842749,31.25627696,31.47654204,30.9829282,31.13618169,31.29533567,30.93777806,30.90420468,31.35269425
19,39.9295685,38.03051426,38.00191205,38.35758364,38.68318473,37.76733327,37.8093996,35.8213823,38.42550455,37.74811868,38.4014373
20,28.8079595,28.69260039,28.65358946,28.51285099,28.687734,28.6385517,28.63656909,28.64592488,28.62683749,28.64519473,28.6252477
21,30.1222513,30.01808501,30.07030721,29.96914114,29.95195256,30.04395203,29.88209306,29.87857888,30.01413105,30.05332096,30.09813291
22,30.1024925,30.01808501,30.07030721,29.96914114,29.95195256,30.04395203,29.88209306,29.87857888,30.01413105,30.05332096,30.09813291
23,29.4543424,29.4114676,29.4482986,29.54471801,29.55970514,29.40726487,29.51945905,29.40935352,29.45186454,29.48674962,29.44244974
24,29.8482173,29.46767708,29.36052386,29.67303071,29.85747671,29.59792519,29.55549353,29.49833269,29.68508796,29.5598139,29.4314933
25,38.2073934,36.65229765,36.40767524,36.02326553,36.91654666,36.95644703,36.8732983,35.01347116,36.80838788,36.61015739,36.65920155
26,28.9817009,28.69260039,28.65358946,28.51285099,28.687734,28.6385517,28.63656909,28.64592488,28.62683749,28.64519473,28.6252477
27,30.6299345,31.06942489,30.85127746,31.20027101,30.63116815,31.23185334,30.81871819,30.80314671,31.01459803,30.8691237,30.96361013
28,37.3975316,35.7390152,36.52643444,36.17910133,36.54286503,36.7686264,36.52151419,36.13568715,36.83018711,36.89107665,36.29977768
29,29.7812152,29.70879442,29.57156324,29.92369902,29.71802198,29.77737789,29.59724186,29.71154049,29.73925942,29.90633867,29.66263914
30,31.7648702,31.62591154,31.62357046,31.62690298,31.82029855,31.52263038,31.30902094,31.76341236,31.6552932,31.50044778,31.39845714
31,31.7826529,31.62591154,31.62357046,31.62690298,31.82029855,31.52263038,31.30902094,31.76341236,31.6552932,31.50044778,31.39845714
32,32.1175191,36.39647951,33.64207993,33.5831681,34.42705584,34.28524225,33.83337527,33.52191376,34.37760651,33.94106237,33.78817892
33,37.17355,36.41263266,36.5491305,35.79281263,36.32133996,36.65091003,36.3499578,36.62178859,35.63914704,36.00925555,35.92563957
34,29.2748333,29.10704674,29.11217653,29.06006373,29.13761203,29.15325398,29.14123606,29.16908858,28.77083736,29.08504679,29.15297797
35,28.3527538,28.51394162,28.51539843,28.59964602,28.56351386,28.53756015,28.50356627,29.00372944,28.49936024,28.50604547,28.54495395
36,28.6420083,28.51394162,28.51539843,28.59964602,28.56351386,28.53756015,28.50356627,29.00372944,28.49936024,28.50604547,28.54495395
37,29.5880719,29.4114676,29.4482986,29.54471801,29.55970514,29.40726487,29.51945905,29.40935352,29.45186454,29.48674962,29.44244974
38,28.4531658,28.51394162,28.51539843,28.59964602,28.56351386,28.53756015,28.50356627,29.00372944,28.49936024,28.50604547,28.54495395
39,28.8482596,28.85706486,28.83521253,28.83944442,28.81155991,28.90912346,28.87746052,28.82346933,28.76081257,28.81365897,28.85139079
40,28.8726689,28.69260039,28.65358946,28.51285099,28.687734,28.6385517,28.63656909,28.64592488,28.62683749,28.64519473,28.6252477
41,28.4562899,28.69260039,28.65358946,28.51285099,28.687734,28.6385517,28.63656909,28.64592488,28.62683749,28.64519473,28.6252477
42,29.8067916,29.60859292,29.68833749,29.62953522,29.56641041,29.58631686,29.5924008,29.5759659,29.62048767,29.7245581,29.82546754
43,29.7316448,29.60859292,29.68833749,29.62953522,29.56641041,29.58631686,29.5924008,29.5759659,29.62048767,29.7245581,29.82546754
44,28.4680699,28.69260039,28.65358946,28.51285099,28.687734,28.6385517,28.63656909,28.64592488,28.62683749,28.64519473,28.6252477
45,28.2179808,28.69260039,28.65358946,28.51285099,28.687734,28.6385517,28.63656909,28.64592488,28.62683749,28.64519473,28.6252477
46,39.4668594,37.72664177,34.40858831,37.17016956,37.16307246,38.01818242,37.75870048,37.73417696,37.69776243,37.45802076,37.08090682
47,34.4293967,34.78316297,34.72184963,34.76806962,35.23377392,34.96057141,34.72441256,34.77817052,35.00943742,35.07863918,34.42969755
48,28.3760693,28.89254087,28.94356762,28.90683469,28.77141192,28.79819359,29.66685545,28.96882558,28.70647489,29.33391785,28.81569806
49,37.2669885,36.35827037,35.57954742,35.98205691,34.12810616,36.63031789,36.44922126,36.40627154,35.73052638,36.05730623,35.99864509
50,29.7367081,29.48418677,29.53511833,29.42232799,29.49516959,29.5105196,29.02914552,29.47712405,29.25714059,29.54790735,29.50784506
51,28.4911043,28.72372609,28.71662257,28.67879301,28.71321835,28.70041096,28.75404077,28.87061241,28.59229763,28.89157281,29.12421724
52,31.1622838,31.09176764,31.04463881,31.34666328,30.99056585,31.28848076,31.23248648,31.13179417,31.19660236,31.29439997,30.99136235
53,44.2281517,42.50452761,42.71461495,41.70679314,38.17460758,41.48423947,42.24808957,42.44849935,41.81600662,41.17049017,41.94377872
