index,True_Values,Fold1_Predictions,Fold2_Predictions,Fold3_Predictions,Fold4_Predictions,Fold5_Predictions,Fold6_Predictions,Fold7_Predictions,Fold8_Predictions,Fold9_Predictions,Fold10_Predictions
1,32.4281183,32.12608719,32.17193604,32.25322723,32.30675888,32.24855042,32.07854843,32.20947266,32.32866669,30.80124092,32.14867783
2,28.6543349,28.93264771,28.93209457,28.8875103,28.98284531,28.93048477,28.90698433,28.92425156,28.93836975,28.65836334,29.01062202
3,29.4007568,30.04359436,29.7644062,29.80760384,29.69742012,29.84581757,29.33734131,29.75598907,29.79412079,29.62438774,29.72414398
4,29.6763799,29.5231266,29.40896797,29.4305706,29.44927597,29.48394966,29.51760292,29.46961212,29.48933411,29.01548195,29.52975655
5,29.1667857,29.50225258,29.39634132,29.63659859,29.64109039,29.4679451,29.91234016,29.60437775,29.5512867,29.28885841,29.49164772
6,29.0965461,28.93264771,28.93209457,28.8875103,28.98284531,28.93048477,28.90698433,28.92425156,28.93836975,28.65836334,29.01062202
7,29.3710814,29.20936966,29.08050919,29.07477379,29.00735664,29.05290604,29.06547546,29.05025673,29.02048683,29.11044121,29.14000702
8,27.9155069,29.36629677,28.40232658,28.57284737,28.49984741,28.49280739,28.54657173,28.50485611,28.61365891,28.44994354,28.5414772
9,28.1545216,27.85625458,27.74126816,27.89578056,27.89764214,27.83869934,27.74760437,27.87863159,27.83440971,27.1448822,28.08342361
10,29.886403,29.76551247,29.28350258,29.6527462,29.61414146,29.65882874,29.66924858,29.64232063,29.74276352,29.43334007,29.69489098
11,26.4298456,26.95752907,26.94956589,26.81229591,26.85206604,26.85829353,26.95496559,26.86833,26.78999901,26.67560577,28.0560627
12,30.5998283,30.05063629,29.99152565,30.00784492,29.8680439,30.10503578,29.33734131,29.91436958,29.95173645,29.9093914,29.97840309
13,29.2052328,29.73702621,29.49424362,29.54631233,29.51256371,29.62870216,29.49001884,29.5557766,29.38810349,29.99171638,29.72220993
14,31.8109384,32.60090256,32.30007172,32.18235016,31.95811081,31.99252701,32.47472382,32.94302368,32.25720596,32.2167244,32.15625381
15,28.939343,29.45476532,29.40921402,29.47110939,29.75794601,29.40869904,29.38036537,29.38445854,29.09326744,29.4081459,29.28966331
16,29.4425541,29.71895409,29.68222618,29.66880608,29.61645889,29.7078495,29.67847633,29.7752552,29.64788055,29.71334267,29.70050621
17,33.299264,33.0767746,33.45769882,33.0341835,33.32313919,33.16983032,33.23564911,33.23172379,33.21587372,33.25858688,33.08930588
18,30.4832201,31.07181358,32.74516678,31.35533142,31.09150314,31.29450417,31.19371986,31.3424015,31.04480362,31.10911369,31.09936905
